model,condition,failure_type,count,pct
Gemini-3-preview,ZS,Functional Inaccuracy,28,16.8675
Gemini-3-preview,ZS,Algorithm Confusion,19,11.4458
Gemini-3-preview,ZS,Semantic Drift,15,9.0361
Gemini-3-preview,ZS,Structural Description Only,15,9.0361
Gemini-3-preview,ZS,PARSE_FAIL,4,2.4096
Gemini-3-preview,ZS,Hallucination,3,1.8072
Gemini-3-preview,ZS,Correct (no failure),2,1.2048
Gemini-3-preview,ZS,Minimal Code Understanding,1,0.6024
Kimi-K2.7,OAP2,Algorithm Confusion,23,21.1009
Kimi-K2.7,OAP2,Correct (no failure),21,19.2661
Kimi-K2.7,OAP2,Functional Inaccuracy,17,15.5963
Kimi-K2.7,OAP2,Algorithm Misunderstanding,15,13.7615
Kimi-K2.7,OAP2,Semantic Drift,11,10.0917
Kimi-K2.7,OAP2,Obfuscation Narrative,8,7.3394
Kimi-K2.7,OAP2,PARSE_FAIL,8,7.3394
Kimi-K2.7,OAP2,Structural Description Only,3,2.7523
Kimi-K2.7,OAP2,Hallucination,3,2.7523
Kimi-K2.7,ZS,Obfuscation Narrative,26,23.8532
Kimi-K2.7,ZS,Algorithm Confusion,21,19.2661
Kimi-K2.7,ZS,Functional Inaccuracy,17,15.5963
Kimi-K2.7,ZS,Semantic Drift,15,13.7615
Kimi-K2.7,ZS,Correct (no failure),13,11.9266
Kimi-K2.7,ZS,Algorithm Misunderstanding,7,6.4220
Kimi-K2.7,ZS,Structural Description Only,4,3.6697
Kimi-K2.7,ZS,PARSE_FAIL,4,3.6697
Kimi-K2.7,ZS,Hallucination,2,1.8349
O4-mini,OAP2,Algorithm Confusion,40,28.1690
O4-mini,OAP2,Algorithm Misunderstanding,35,24.6479
O4-mini,OAP2,Functional Inaccuracy,25,17.6056
O4-mini,OAP2,Correct (no failure),11,7.7465
O4-mini,OAP2,Semantic Drift,9,6.3380
O4-mini,OAP2,Obfuscation Narrative,9,6.3380
O4-mini,OAP2,PARSE_FAIL,8,5.6338
O4-mini,OAP2,Hallucination,3,2.1127
O4-mini,OAP2,Structural Description Only,2,1.4085
O4-mini,ZS,Obfuscation Narrative,39,29.3233
O4-mini,ZS,Algorithm Confusion,24,18.0451
O4-mini,ZS,Semantic Drift,19,14.2857
O4-mini,ZS,Algorithm Misunderstanding,19,14.2857
O4-mini,ZS,Functional Inaccuracy,17,12.7820
O4-mini,ZS,Correct (no failure),7,5.2632
O4-mini,ZS,Structural Description Only,5,3.7594
O4-mini,ZS,PARSE_FAIL,2,1.5038
O4-mini,ZS,Hallucination,1,0.7519
