dataset,model_key,model,prompt,n_variants,llm_mean,llm_mean_min,llm_mean_max,n_completed,sources
java656,deepseek_v31,DeepSeek-V3.1,oap1,3,0.7227789031,0.6614160835,0.7621857324,3,scaled
java656,deepseek_v31,DeepSeek-V3.1,oap2,3,0.7035602433,0.6557575809,0.7344072765,3,scaled
java656,deepseek_v31,DeepSeek-V3.1,reasoning,5,0.7501910006,0.6378389893,0.8654275934,5,completed|scaled
java656,deepseek_v31,DeepSeek-V3.1,zero_shot,5,0.7313414634,0.6771341463,0.7615853659,0,direct
java656,deepseek_v4_pro,DeepSeek-V4-Pro,few_shot,5,0.7264535143,0.6350044581,0.8167787579,5,completed
java656,deepseek_v4_pro,DeepSeek-V4-Pro,oap1,3,0.7025362059,0.6365950638,0.7381963632,3,completed
java656,deepseek_v4_pro,DeepSeek-V4-Pro,oap2,3,0.6994840648,0.6427496896,0.7324565095,3,completed
java656,deepseek_v4_pro,DeepSeek-V4-Pro,reasoning,5,0.7472977643,0.6333903138,0.8805294915,5,completed
java656,deepseek_v4_pro,DeepSeek-V4-Pro,zero_shot,5,0.7221036585,0.6455792683,0.7554878049,0,direct
java656,gemini,Gemini-3-preview,few_shot,5,0.8031998832,0.7531225606,0.8469382641,5,completed|scaled
java656,gemini,Gemini-3-preview,oap1,3,0.8067786951,0.7856875719,0.8237968696,3,scaled
java656,gemini,Gemini-3-preview,oap2,3,0.7936364245,0.7806686618,0.8128532707,3,scaled
java656,gemini,Gemini-3-preview,reasoning,5,0.8216827628,0.7759218295,0.9130429897,5,completed|scaled
java656,gemini,Gemini-3-preview,zero_shot,5,0.7917378049,0.7833841463,0.8016768293,0,direct
java656,glm5,GLM-5,few_shot,5,0.7735969359,0.7321903759,0.8340363411,5,completed
java656,glm5,GLM-5,oap1,3,0.7702802067,0.7446734229,0.7839363185,3,completed
java656,glm5,GLM-5,oap2,3,0.7672426891,0.7518729545,0.7778408133,3,completed
java656,glm5,GLM-5,reasoning,5,0.7947298959,0.7409245843,0.8991340534,5,completed
java656,glm5,GLM-5,zero_shot,5,0.7694120276,0.7551829268,0.7818597561,0,direct
java656,gpt35,GPT-3.5-turbo,few_shot,5,0.6843173263,0.4919820014,0.813317831,5,completed|scaled
java656,gpt35,GPT-3.5-turbo,oap1,3,0.6918695568,0.6422055133,0.733013397,3,scaled
java656,gpt35,GPT-3.5-turbo,oap2,3,0.6391587429,0.5116988373,0.7069047209,3,scaled
java656,gpt35,GPT-3.5-turbo,reasoning,5,0.7177020864,0.536110158,0.8767984343,5,completed|scaled
java656,gpt35,GPT-3.5-turbo,zero_shot,5,0.7005487805,0.5839939024,0.7522865854,0,direct
java656,gpt4o,GPT-4o,few_shot,5,0.7469424988,0.6679583441,0.8301280475,5,completed|scaled
java656,gpt4o,GPT-4o,oap1,3,0.6973733583,0.6255388071,0.7576967143,3,scaled
java656,gpt4o,GPT-4o,oap2,3,0.6949987466,0.5980557267,0.7524610066,3,scaled
java656,gpt4o,GPT-4o,reasoning,5,0.7580723057,0.6100048921,0.894920712,5,completed|scaled
java656,gpt4o,GPT-4o,zero_shot,5,0.7395426829,0.6739329268,0.7679878049,0,direct
java656,gpt5,GPT-5-nano,few_shot,5,0.7107383907,0.6122132709,0.7963428083,5,completed
java656,gpt5,GPT-5-nano,oap1,3,0.6896804532,0.6137467876,0.7468792022,3,completed
java656,gpt5,GPT-5-nano,oap2,3,0.6866384108,0.6196805154,0.741071835,3,completed
java656,gpt5,GPT-5-nano,reasoning,5,0.7310632358,0.6106570605,0.8584984873,5,completed
java656,gpt5,GPT-5-nano,zero_shot,5,0.706554878,0.6224085366,0.7365853659,0,direct
java656,kimi_k25,Kimi-K2.7,few_shot,5,0.7381264732,0.6856848611,0.8088680677,5,completed
java656,kimi_k25,Kimi-K2.7,oap1,3,0.7262526939,0.6874024148,0.7603686127,3,completed
java656,kimi_k25,Kimi-K2.7,oap2,3,0.7233147894,0.694048248,0.7544563585,3,completed
java656,kimi_k25,Kimi-K2.7,reasoning,5,0.7587605229,0.6839418902,0.8720013608,5,completed
java656,kimi_k25,Kimi-K2.7,zero_shot,5,0.7340853659,0.6971036585,0.7481707317,0,direct
java656,llama70b,Llama-70B,few_shot,5,0.7386304525,0.62809727,0.7873221545,5,scaled
java656,llama70b,Llama-70B,oap1,3,0.6795736098,0.6072831305,0.7372470306,3,scaled
java656,llama70b,Llama-70B,oap2,3,0.7254926023,0.6807447995,0.7486487295,3,scaled
java656,llama70b,Llama-70B,reasoning,5,0.7543541101,0.7302425909,0.7993768477,5,scaled
java656,llama70b,Llama-70B,zero_shot,5,0.7109146341,0.6158536585,0.756402439,0,direct
java656,llamavl,Llama-3.2-11B-Vision-Instruct,few_shot,5,0.006523384762,0,0.02686099608,5,completed|scaled
java656,llamavl,Llama-3.2-11B-Vision-Instruct,oap1,3,0.001918642577,0,0.005755927731,3,completed|scaled
java656,llamavl,Llama-3.2-11B-Vision-Instruct,oap2,3,0.002814009113,0,0.006523384763,3,completed|scaled
java656,llamavl,Llama-3.2-11B-Vision-Instruct,reasoning,5,0.01089788984,0,0.03722166599,5,completed|scaled
java656,llamavl,Llama-3.2-11B-Vision-Instruct,zero_shot,5,0.008595518745,0,0.03338438084,5,completed
java656,mistral,Mistral,few_shot,5,0.6713481463,0.5469054245,0.7212490292,5,completed
java656,mistral,Mistral,oap1,3,0.3429078453,0.2923790336,0.3751055185,3,completed
java656,mistral,Mistral,oap2,3,0.3245377822,0.2767158711,0.35501058,3,completed
java656,mistral,Mistral,reasoning,5,0.6626959267,0.5398570014,0.7119536957,5,completed
java656,mistral,Mistral,zero_shot,5,0.6944207317,0.5657012195,0.7460365854,0,direct
java656,o4mini,O4-mini,few_shot,5,0.7476202954,0.7148922511,0.8111753524,5,completed|scaled
java656,o4mini,O4-mini,oap1,3,0.7315032312,0.7046574486,0.7525620537,3,scaled
java656,o4mini,O4-mini,oap2,3,0.7295636909,0.7083262656,0.7633490059,3,scaled
java656,o4mini,O4-mini,reasoning,5,0.760997008,0.7019669828,0.8744887323,5,completed|scaled
java656,o4mini,O4-mini,zero_shot,5,0.7332317073,0.6963414634,0.750304878,0,direct
java656,qwen37_plus,Qwen3.7-plus,few_shot,5,0.7515093653,0.7035279616,0.8129882189,5,completed
java656,qwen37_plus,Qwen3.7-plus,oap1,3,0.7434671754,0.70529021,0.7727726684,3,completed
java656,qwen37_plus,Qwen3.7-plus,oap2,3,0.7404618118,0.7121089831,0.7667639663,3,completed
java656,qwen37_plus,Qwen3.7-plus,reasoning,5,0.7722975545,0.7017396346,0.8764430955,5,completed
java656,qwen37_plus,Qwen3.7-plus,zero_shot,5,0.7475178738,0.7152439024,0.7597560976,0,direct
java656,qwen3vl,Qwen3-VL-8B-Instruct,few_shot,5,0.2874894038,0.06254774802,0.7122001247,5,scaled
java656,qwen3vl,Qwen3-VL-8B-Instruct,oap1,3,0.1188279303,0.09055992965,0.1504215781,3,scaled
java656,qwen3vl,Qwen3-VL-8B-Instruct,oap2,3,0.1073160748,0.08633891598,0.1404446367,3,scaled
java656,qwen3vl,Qwen3-VL-8B-Instruct,reasoning,5,0.2960081768,0.1074439843,0.7098977536,5,scaled
java656,qwen3vl,Qwen3-VL-8B-Instruct,zero_shot,5,0.2908662147,0.0794318027,0.6531059333,5,completed
java656,qwencoder32b,Qwen2.5-Coder-32B,few_shot,5,0.7247173322,0.5805197679,0.7752491477,5,completed
java656,qwencoder32b,Qwen2.5-Coder-32B,oap1,3,0.538640318,0.4520341595,0.5940238257,3,completed
java656,qwencoder32b,Qwen2.5-Coder-32B,oap2,3,0.527307029,0.4425231117,0.5815252371,3,completed
java656,qwencoder32b,Qwen2.5-Coder-32B,reasoning,5,0.702265559,0.5625352413,0.7512318967,5,completed
java656,qwencoder32b,Qwen2.5-Coder-32B,zero_shot,5,0.7227743902,0.5789634146,0.7731707317,0,direct
java656,starchat,StarChat,few_shot,5,0.2390251228,0.1239492565,0.3237225612,5,completed
java656,starchat,StarChat,oap1,3,0.1745529925,0.103521094,0.211444739,3,completed
java656,starchat,StarChat,oap2,3,0.1621403353,0.09615959397,0.1964086687,3,completed
java656,starchat,StarChat,reasoning,5,0.2516240713,0.1304825878,0.3407858885,5,completed
java656,starchat,StarChat,zero_shot,5,0.2505593714,0.1299304753,0.3393439172,5,completed
java656,starcoder,StarCoder,few_shot,5,0.08640669535,0.02496894855,0.1590710468,5,completed
java656,starcoder,StarCoder,oap1,3,0.2311255738,0.1532353339,0.2963339662,3,completed
java656,starcoder,StarCoder,oap2,3,0.224455283,0.1488129577,0.2877817594,3,completed
java656,starcoder,StarCoder,reasoning,5,0.1008078112,0.02913043997,0.1855828879,5,completed
java656,starcoder,StarCoder,zero_shot,5,0.09383952936,0.02711681509,0.1727545777,5,completed
java906,claude_sonnet_5,Claude Sonnet 5,few_shot,5,0.7292271959,0.6731172042,0.803924614,5,completed
java906,claude_sonnet_5,Claude Sonnet 5,oap1,3,0.7160561085,0.6748032774,0.7575729083,3,completed
java906,claude_sonnet_5,Claude Sonnet 5,oap2,3,0.7131509998,0.6813273018,0.7516823921,3,completed
java906,claude_sonnet_5,Claude Sonnet 5,reasoning,5,0.7497057949,0.6714061795,0.8666720636,5,completed
java906,claude_sonnet_5,Claude Sonnet 5,zero_shot,5,0.725187638,0.6843267108,0.744812362,0,direct
java906,codellama,CodeLlama,few_shot,5,0.2330549549,0.1255526122,0.3660008508,5,scaled
java906,codellama,CodeLlama,oap1,3,0.1534161892,0.1248865506,0.1748411708,3,scaled
java906,codellama,CodeLlama,oap2,3,0.164961257,0.1268847354,0.2004845425,3,scaled
java906,codellama,CodeLlama,reasoning,5,0.2473086732,0.1458674911,0.3826523909,5,scaled
java906,codellama,CodeLlama,zero_shot,5,0.2313898009,0.1288829202,0.407629701,5,pooled
java906,deepseek_r1,DeepSeek-R1,few_shot,5,0.7007574024,0.6233933849,0.7786267042,5,completed|scaled
java906,deepseek_r1,DeepSeek-R1,oap1,3,0.682375861,0.5995920127,0.7267342675,3,scaled
java906,deepseek_r1,DeepSeek-R1,oap2,3,0.683624239,0.6378261318,0.7067495955,3,scaled
java906,deepseek_r1,DeepSeek-R1,reasoning,5,0.7152024888,0.620861324,0.8393996163,5,completed|scaled
java906,deepseek_r1,DeepSeek-R1,zero_shot,5,0.696401766,0.6337748344,0.7201986755,0,direct
java906,deepseek_v31,DeepSeek-V3.1,few_shot,5,0.683426765,0.5720718269,0.7736148542,5,completed|scaled
java906,deepseek_v31,DeepSeek-V3.1,oap1,3,0.6806424545,0.6088210035,0.7174304554,3,scaled
java906,deepseek_v31,DeepSeek-V3.1,oap2,3,0.662432497,0.6036124588,0.6924018916,3,scaled
java906,deepseek_v31,DeepSeek-V3.1,reasoning,5,0.715061407,0.5871187338,0.8339965842,5,completed|scaled
java906,deepseek_v31,DeepSeek-V3.1,zero_shot,5,0.6964459161,0.6232891832,0.7401766004,0,direct
java906,deepseek_v4_pro,DeepSeek-V4-Pro,few_shot,5,0.6901846244,0.5918003032,0.7833998947,5,completed
java906,deepseek_v4_pro,DeepSeek-V4-Pro,oap1,3,0.6633109193,0.5932826879,0.69885764,3,completed
java906,deepseek_v4_pro,DeepSeek-V4-Pro,oap2,3,0.6603736399,0.599018568,0.6934236649,3,completed
java906,deepseek_v4_pro,DeepSeek-V4-Pro,reasoning,5,0.7101800594,0.5902959813,0.844545361,5,completed
java906,deepseek_v4_pro,DeepSeek-V4-Pro,zero_shot,5,0.6859381898,0.6016556291,0.7246136865,0,direct
java906,gemini,Gemini-3-preview,few_shot,5,0.7588175579,0.7155930242,0.8239123493,5,completed|scaled
java906,gemini,Gemini-3-preview,oap1,3,0.7498690404,0.7306559073,0.7839927479,3,scaled
java906,gemini,Gemini-3-preview,oap2,3,0.7377522681,0.7136903486,0.7735779205,3,scaled
java906,gemini,Gemini-3-preview,reasoning,5,0.776999962,0.7032979731,0.8882198698,5,completed|scaled
java906,gemini,Gemini-3-preview,zero_shot,5,0.7477538631,0.7168322296,0.7629415011,0,direct
java906,glm5,GLM-5,few_shot,5,0.7442072297,0.696974491,0.8029015426,5,completed
java906,glm5,GLM-5,oap1,3,0.7433010461,0.7176859373,0.7564502455,3,completed
java906,glm5,GLM-5,oap2,3,0.7403630095,0.7246245528,0.7505684586,3,completed
java906,glm5,GLM-5,reasoning,5,0.7644217349,0.7140729593,0.86556914,5,completed
java906,glm5,GLM-5,zero_shot,5,0.7400977157,0.7278145695,0.7554083885,0,direct
java906,gpt35,GPT-3.5-turbo,few_shot,5,0.6155475002,0.4102263935,0.7470043171,5,completed|scaled
java906,gpt35,GPT-3.5-turbo,oap1,3,0.608716544,0.535486361,0.655991529,3,scaled
java906,gpt35,GPT-3.5-turbo,oap2,3,0.5641966685,0.4266667642,0.6332970018,3,scaled
java906,gpt35,GPT-3.5-turbo,reasoning,5,0.6453657825,0.447021509,0.8053090572,5,completed|scaled
java906,gpt35,GPT-3.5-turbo,zero_shot,5,0.628785872,0.4869481236,0.6909492274,0,direct
java906,gpt4o,GPT-4o,few_shot,5,0.677243269,0.5552433148,0.7754048006,5,completed|scaled
java906,gpt4o,GPT-4o,oap1,3,0.6191643114,0.5199818879,0.6899620014,3,scaled
java906,gpt4o,GPT-4o,oap2,3,0.6177706183,0.4971364563,0.6873550901,3,scaled
java906,gpt4o,GPT-4o,reasoning,5,0.6888674944,0.5070692526,0.8359262385,5,completed|scaled
java906,gpt4o,GPT-4o,zero_shot,5,0.6702980132,0.560209713,0.717218543,0,direct
java906,gpt5,GPT-5-nano,few_shot,5,0.6759382494,0.5746466712,0.7619205374,5,completed
java906,gpt5,GPT-5-nano,oap1,3,0.6517370848,0.5760860883,0.7008784332,3,completed
java906,gpt5,GPT-5-nano,oap2,3,0.648824243,0.581655711,0.6954287454,3,completed
java906,gpt5,GPT-5-nano,reasoning,5,0.6954460906,0.5731859529,0.8213895096,5,completed
java906,gpt5,GPT-5-nano,zero_shot,5,0.6718984547,0.5842163355,0.7047461369,0,direct
java906,kimi_k25,Kimi-K2.7,few_shot,5,0.713186642,0.6523808516,0.7839965436,5,completed
java906,kimi_k25,Kimi-K2.7,oap1,3,0.6993650259,0.6540149829,0.7292818039,3,completed
java906,kimi_k25,Kimi-K2.7,oap2,3,0.6964705759,0.6603380252,0.7236112655,3,completed
java906,kimi_k25,Kimi-K2.7,reasoning,5,0.7332056769,0.6507225375,0.8451885791,5,completed
java906,kimi_k25,Kimi-K2.7,zero_shot,5,0.709205298,0.6632450331,0.7261589404,0,direct
java906,llama70b,Llama-70B,few_shot,5,0.6410329668,0.5045651587,0.7007327692,5,scaled
java906,llama70b,Llama-70B,oap1,3,0.5769789655,0.4878446759,0.6472281855,3,scaled
java906,llama70b,Llama-70B,oap2,3,0.6151103259,0.5468581448,0.6558642918,3,scaled
java906,llama70b,Llama-70B,reasoning,5,0.6529336536,0.6019373824,0.7114616919,5,scaled
java906,llama70b,Llama-70B,zero_shot,5,0.6169895144,0.4947295806,0.6790286976,0,direct
java906,llamavl,Llama-3.2-11B-Vision-Instruct,few_shot,5,0.005661523625,0,0.0233121561,5,completed|scaled
java906,llamavl,Llama-3.2-11B-Vision-Instruct,oap1,3,0.001665154007,0,0.004995462021,3,completed|scaled
java906,llamavl,Llama-3.2-11B-Vision-Instruct,oap2,3,0.002442225877,0,0.005661523625,3,completed|scaled
java906,llamavl,Llama-3.2-11B-Vision-Instruct,reasoning,5,0.009458074762,0,0.03230398774,5,completed|scaled
java906,llamavl,Llama-3.2-11B-Vision-Instruct,zero_shot,5,0.007459889953,0,0.02897367973,5,pooled
java906,mistral,Mistral,few_shot,5,0.568745556,0.4382230167,0.6654309933,5,completed
java906,mistral,Mistral,oap1,3,0.2790037736,0.234276744,0.3063125286,3,completed
java906,mistral,Mistral,oap2,3,0.2640571429,0.2217262041,0.2899029289,3,completed
java906,mistral,Mistral,reasoning,5,0.561415661,0.4325752737,0.656855033,5,completed
