dataset,model_key,model,variant,n_items,llm_mean,llm_median,llm_consensus_rate,st_mean,st_median,st_success_rate,agreement_rate,both_success_rate,neither_success_rate,eval_file,source,is_completed,import_method
java250,o4mini,O4-mini,without_comments,250,0.676,0.7,0.828,0.5441544063091278,0.5549112260341644,0.644,0.728,0.6,0.128,evaluation/java250/O4-mini_Results/combined_results_Data_Without_Comments_Description.json,direct,false,
java250,o4mini,O4-mini,renaming,250,0.6414,0.6,0.768,0.5319890837073327,0.5445851385593414,0.604,0.708,0.54,0.168,evaluation/java250/O4-mini_Results/combined_results_Variable_Renaming_Description.json,direct,false,
java250,o4mini,O4-mini,dead_code,250,0.6622,0.6,0.824,0.528972835302353,0.5402351319789886,0.608,0.704,0.568,0.136,evaluation/java250/O4-mini_Results/combined_results_Dataset_DeadCode_Description.json,direct,false,
java250,o4mini,O4-mini,encryption,250,0.5033,0.6,0.588,0.4675509692132473,0.48060595989227295,0.476,0.688,0.376,0.312,evaluation/java250/O4-mini_Results/combined_results_Dataset_Encryption_Description.json,direct,false,
java250,gemini,Gemini-3-preview,with_comments,250,0.6799000000000001,0.6,0.86,0.5625604479908943,0.567261666059494,0.668,0.712,0.62,0.092,evaluation/java250/Gemini_Results/combined_results_Data_With_Comments_Description.json,direct,false,
java250,gemini,Gemini-3-preview,without_comments,250,0.7062,0.8875,0.86,0.5683080731034279,0.5831850171089172,0.696,0.756,0.656,0.1,evaluation/java250/Gemini_Results/combined_results_Data_Without_Comments_Description.json,direct,false,
java250,gemini,Gemini-3-preview,renaming,250,0.6613,0.6125,0.812,0.5420155728161336,0.5542266368865967,0.636,0.728,0.588,0.14,evaluation/java250/Gemini_Results/combined_results_Variable_Renaming_Description.json,direct,false,
java250,gemini,Gemini-3-preview,dead_code,250,0.5917,0.6,0.716,0.5073204466700554,0.5238542854785919,0.556,0.64,0.456,0.184,evaluation/java250/Gemini_Results/combined_results_Dataset_DeadCode_Description.json,direct,false,
java250,gemini,Gemini-3-preview,encryption,250,0.5226000000000001,0.6,0.62,0.49048450446128844,0.5063615143299103,0.524,0.688,0.416,0.272,evaluation/java250/Gemini_Results/combined_results_Dataset_Encryption_Description.json,direct,false,
java250,llama70b,Llama-70B,with_comments,250,0.476,0.5874999999999999,0.556,0.47451337906718255,0.4844400882720947,0.464,0.764,0.392,0.372,evaluation/java250/llama70B_Results/combined_results_Data_With_Comments_Description.json,direct,false,
java250,llama70b,Llama-70B,without_comments,250,0.44859999999999994,0.5,0.516,0.45408253110945224,0.4645586311817169,0.416,0.764,0.348,0.416,evaluation/java250/llama70B_Results/combined_results_Data_Without_Comments_Description.json,direct,false,
java250,llama70b,Llama-70B,renaming,250,0.40980000000000005,0.3,0.444,0.4106641913354397,0.3935384303331375,0.332,0.768,0.272,0.496,evaluation/java250/llama70B_Results/combined_results_Variable_Renaming_Description.json,direct,false,
java250,llama70b,Llama-70B,dead_code,250,0.34135000000000004,0.2,0.368,0.4003847112804651,0.37824292480945587,0.328,0.76,0.228,0.532,evaluation/java250/llama70B_Results/combined_results_Dataset_DeadCode_Description.json,direct,false,
java250,llama70b,Llama-70B,encryption,250,0.1769,0.0,0.18,0.29793085239082573,0.2626504749059677,0.116,0.832,0.064,0.768,evaluation/java250/llama70B_Results/combined_results_Dataset_Encryption_Description.json,direct,false,
java250,mistral,Mistral,with_comments,250,0.5367999999999999,0.5,0.592,0.46245105558633803,0.45264768600463867,0.416,0.608,0.308,0.3,evaluation/java250/mistral_Results/combined_results_Data_With_Comments_Description.json,direct,false,
java250,mistral,Mistral,without_comments,250,0.36610000000000004,0.275,0.388,0.43606366237998007,0.42925332486629486,0.328,0.62,0.168,0.452,evaluation/java250/mistral_Results/combined_results_Data_Without_Comments_Description.json,direct,false,
java250,mistral,Mistral,renaming,250,0.2434,0.0,0.248,0.375480542473495,0.38086457550525665,0.2,0.72,0.084,0.636,evaluation/java250/mistral_Results/combined_results_Variable_Renaming_Description.json,direct,false,
java250,mistral,Mistral,dead_code,250,0.24445000000000003,0.025,0.236,0.39208884216099976,0.38789309561252594,0.236,0.72,0.096,0.624,evaluation/java250/mistral_Results/combined_results_Dataset_DeadCode_Description.json,direct,false,
java250,mistral,Mistral,encryption,250,0.15830000000000002,0.0,0.172,0.33744062477350234,0.3252730518579483,0.128,0.78,0.04,0.74,evaluation/java250/mistral_Results/combined_results_Dataset_Encryption_Description.json,direct,false,
java250,deepseek_v31,DeepSeek-V3.1,with_comments,250,0.684,0.8,0.716,0.5656374353170395,0.5831564664840698,0.672,0.652,0.52,0.132,evaluation/java250/deepseek-v3.1_Results/combined_results_Data_With_Comments_Description.json,direct,false,
java250,deepseek_v31,DeepSeek-V3.1,without_comments,250,0.6447999999999999,0.8,0.66,0.5759042490124703,0.5977417826652527,0.704,0.628,0.496,0.132,evaluation/java250/deepseek-v3.1_Results/combined_results_Data_Without_Comments_Description.json,direct,false,
java250,deepseek_v31,DeepSeek-V3.1,renaming,250,0.5868,0.6499999999999999,0.568,0.5462252792418003,0.5625865161418915,0.636,0.596,0.4,0.196,evaluation/java250/deepseek-v3.1_Results/combined_results_Variable_Renaming_Description.json,direct,false,
java250,deepseek_v31,DeepSeek-V3.1,dead_code,250,0.6268,0.8,0.62,0.5443091069459915,0.5626466572284698,0.648,0.588,0.428,0.16,evaluation/java250/deepseek-v3.1_Results/combined_results_Dataset_DeadCode_Description.json,direct,false,
java250,deepseek_v31,DeepSeek-V3.1,encryption,250,0.482,0.4,0.448,0.4539492195248604,0.4549302011728287,0.412,0.644,0.252,0.392,evaluation/java250/deepseek-v3.1_Results/combined_results_Dataset_Encryption_Description.json,direct,false,
java250,deepseek_r1,DeepSeek-R1,with_comments,250,0.634,0.7,0.62,0.5620514276027679,0.5769246220588684,0.664,0.628,0.456,0.172,evaluation/java250/deepseek-r1_Results/combined_results_Data_With_Comments_Description.json,direct,false,
java250,deepseek_r1,DeepSeek-R1,without_comments,250,0.6540000000000001,0.8,0.636,0.5605718958377838,0.5775996446609497,0.672,0.596,0.452,0.144,evaluation/java250/deepseek-r1_Results/combined_results_Data_Without_Comments_Description.json,direct,false,
java250,deepseek_r1,DeepSeek-R1,renaming,250,0.6376000000000001,0.8,0.636,0.5373478934764863,0.5453945994377136,0.588,0.6,0.412,0.188,evaluation/java250/deepseek-r1_Results/combined_results_Variable_Renaming_Description.json,direct,false,
java250,deepseek_r1,DeepSeek-R1,dead_code,250,0.6496000000000001,0.8,0.628,0.5371564756035805,0.5503576397895813,0.628,0.616,0.436,0.18,evaluation/java250/deepseek-r1_Results/combined_results_Dataset_DeadCode_Description.json,direct,false,
java250,deepseek_r1,DeepSeek-R1,encryption,250,0.5404,0.6,0.532,0.4759407726228237,0.48005519807338715,0.408,0.58,0.26,0.32,evaluation/java250/deepseek-r1_Results/combined_results_Dataset_Encryption_Description.json,direct,false,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,with_comments,250,0.634,0.75,0.636,0.0,0.0,0.0,0.364,0.0,0.364,evaluation/java250/DeepseekV4Pro_Results/combined_results_Data_With_Comments_Description.json,direct,false,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,without_comments,250,0.6436000000000001,0.8,0.636,0.0,0.0,0.0,0.364,0.0,0.364,evaluation/java250/DeepseekV4Pro_Results/combined_results_Data_Without_Comments_Description.json,direct,false,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,renaming,250,0.5856,0.7,0.584,0.0,0.0,0.0,0.416,0.0,0.416,evaluation/java250/DeepseekV4Pro_Results/combined_results_Variable_Renaming_Description.json,direct,false,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,dead_code,250,0.6055999999999999,0.7,0.604,0.0,0.0,0.0,0.396,0.0,0.396,evaluation/java250/DeepseekV4Pro_Results/combined_results_Dataset_DeadCode_Description.json,direct,false,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,encryption,250,0.48640000000000005,0.4,0.468,0.0,0.0,0.0,0.532,0.0,0.532,evaluation/java250/DeepseekV4Pro_Results/combined_results_Dataset_Encryption_Description.json,direct,false,
java250,qwencoder32b,Qwen2.5-Coder-32B,with_comments,250,0.47520000000000007,0.4,0.444,0.49072014248371126,0.502296507358551,0.508,0.616,0.284,0.332,evaluation/java250/qwencoder32B_Results/combined_results_Data_With_Comments_Description.json,direct,false,
java250,qwencoder32b,Qwen2.5-Coder-32B,without_comments,250,0.4368,0.2,0.408,0.4841008091717958,0.48217248916625977,0.48,0.624,0.256,0.368,evaluation/java250/qwencoder32B_Results/combined_results_Data_Without_Comments_Description.json,direct,false,
java250,qwencoder32b,Qwen2.5-Coder-32B,renaming,250,0.28320000000000006,0.2,0.248,0.4072138985693455,0.4069550186395645,0.292,0.708,0.124,0.584,evaluation/java250/qwencoder32B_Results/combined_results_Variable_Renaming_Description.json,direct,false,
java250,qwencoder32b,Qwen2.5-Coder-32B,dead_code,250,0.286,0.2,0.24,0.43967851021885873,0.44037361443042755,0.356,0.636,0.116,0.52,evaluation/java250/qwencoder32B_Results/combined_results_Dataset_DeadCode_Description.json,direct,false,
java250,qwencoder32b,Qwen2.5-Coder-32B,encryption,250,0.15320000000000003,0.0,0.12,0.34131489038467405,0.3225637674331665,0.172,0.78,0.036,0.744,evaluation/java250/qwencoder32B_Results/combined_results_Dataset_Encryption_Description.json,direct,false,
java250,qwen37_plus,Qwen3.7-plus,with_comments,250,0.6431999999999999,0.7,0.648,0.5508000974059105,0.5774625837802887,0.652,0.628,0.464,0.164,evaluation/java250/Qwen37Plus_Results/combined_results_Data_With_Comments_Description.json,direct,false,
java250,qwen37_plus,Qwen3.7-plus,without_comments,250,0.6564000000000001,0.8,0.66,0.5497218484729528,0.5761217772960663,0.648,0.612,0.46,0.152,evaluation/java250/Qwen37Plus_Results/combined_results_Data_Without_Comments_Description.json,direct,false,
java250,qwen37_plus,Qwen3.7-plus,renaming,250,0.628,0.7,0.636,0.527581861436367,0.5403911769390106,0.588,0.552,0.388,0.164,evaluation/java250/Qwen37Plus_Results/combined_results_Variable_Renaming_Description.json,direct,false,
java250,qwen37_plus,Qwen3.7-plus,dead_code,250,0.664,0.8,0.656,0.5292722002267838,0.537611186504364,0.596,0.588,0.42,0.168,evaluation/java250/Qwen37Plus_Results/combined_results_Dataset_DeadCode_Description.json,direct,false,
java250,qwen37_plus,Qwen3.7-plus,encryption,250,0.5528000000000001,0.6,0.552,0.4761848728954792,0.4759477972984314,0.448,0.552,0.276,0.276,evaluation/java250/Qwen37Plus_Results/combined_results_Dataset_Encryption_Description.json,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,with_comments,250,0.6572,0.8,0.66,0.5538785524368286,0.5676755011081696,0.652,0.6,0.456,0.144,evaluation/java250/ClaudeSonnet5_Results/combined_results_Data_With_Comments_Description.json,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,without_comments,250,0.6547999999999999,0.8,0.68,0.5482456150054932,0.566337376832962,0.612,0.58,0.436,0.144,evaluation/java250/ClaudeSonnet5_Results/combined_results_Data_Without_Comments_Description.json,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,renaming,250,0.6,0.7,0.596,0.49960620327293875,0.5027213394641876,0.504,0.588,0.344,0.244,evaluation/java250/ClaudeSonnet5_Results/combined_results_Variable_Renaming_Description.json,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,dead_code,250,0.5940000000000001,0.75,0.588,0.493418892621994,0.49903300404548645,0.5,0.6,0.344,0.256,evaluation/java250/ClaudeSonnet5_Results/combined_results_Dataset_DeadCode_Description.json,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,encryption,250,0.5355999999999999,0.6,0.544,0.42898411920666696,0.43374475836753845,0.36,0.6,0.252,0.348,evaluation/java250/ClaudeSonnet5_Results/combined_results_Dataset_Encryption_Description.json,direct,false,
java250,glm5,GLM-5,with_comments,250,0.634,0.7,0.66,0.568435172855854,0.5781171917915344,0.7,0.64,0.5,0.14,evaluation/java250/GLM5_Results/combined_results_Data_With_Comments_Description.json,direct,false,
java250,glm5,GLM-5,without_comments,250,0.6672,0.8,0.684,0.574420686006546,0.5897369682788849,0.692,0.632,0.504,0.128,evaluation/java250/GLM5_Results/combined_results_Data_Without_Comments_Description.json,direct,false,
java250,glm5,GLM-5,renaming,250,0.6728000000000001,0.8500000000000001,0.648,0.5457236587405204,0.5692212581634521,0.628,0.596,0.436,0.16,evaluation/java250/GLM5_Results/combined_results_Variable_Renaming_Description.json,direct,false,
java250,glm5,GLM-5,dead_code,250,0.686,0.9,0.704,0.5497654885053634,0.5744206309318542,0.668,0.628,0.5,0.128,evaluation/java250/GLM5_Results/combined_results_Dataset_DeadCode_Description.json,direct,false,
java250,glm5,GLM-5,encryption,250,0.656,0.8,0.656,0.5014614423811435,0.5095915794372559,0.532,0.652,0.42,0.232,evaluation/java250/GLM5_Results/combined_results_Dataset_Encryption_Description.json,direct,false,
java250,kimi_k25,Kimi-K2.7,with_comments,250,0.6716,0.8,0.66,0.5572945165634156,0.5678739547729492,0.672,0.628,0.48,0.148,evaluation/java250/KimiK25_Results/combined_results_Data_With_Comments_Description.json,direct,false,
java250,kimi_k25,Kimi-K2.7,without_comments,250,0.6648,0.8,0.672,0.5627698475122451,0.5818758308887482,0.684,0.612,0.484,0.128,evaluation/java250/KimiK25_Results/combined_results_Data_Without_Comments_Description.json,direct,false,
java250,kimi_k25,Kimi-K2.7,renaming,250,0.6368,0.75,0.628,0.5321498166322708,0.5265741944313049,0.596,0.568,0.396,0.172,evaluation/java250/KimiK25_Results/combined_results_Variable_Renaming_Description.json,direct,false,
java250,kimi_k25,Kimi-K2.7,dead_code,250,0.672,0.8500000000000001,0.68,0.5343422003388405,0.5508865714073181,0.596,0.596,0.436,0.16,evaluation/java250/KimiK25_Results/combined_results_Dataset_DeadCode_Description.json,direct,false,
java250,kimi_k25,Kimi-K2.7,encryption,250,0.5744000000000001,0.6,0.564,0.47506676310300827,0.4835716038942337,0.468,0.616,0.324,0.292,evaluation/java250/KimiK25_Results/combined_results_Dataset_Encryption_Description.json,direct,false,
java250,gpt5,GPT-5.4-mini,with_comments,250,0.6304,0.8,0.644,0.5191493023633957,0.5304182469844818,0.568,0.636,0.424,0.212,evaluation/java250/GPT5_Results/combined_results_Data_With_Comments_Description.json,direct,false,
java250,gpt5,GPT-5.4-mini,without_comments,250,0.6212000000000001,0.7,0.604,0.5100223997235298,0.5132472813129425,0.548,0.608,0.38,0.228,evaluation/java250/GPT5_Results/combined_results_Data_Without_Comments_Description.json,direct,false,
java250,gpt5,GPT-5.4-mini,renaming,250,0.5704000000000001,0.6,0.552,0.4930536307692528,0.5055681467056274,0.508,0.644,0.352,0.292,evaluation/java250/GPT5_Results/combined_results_Variable_Renaming_Description.json,direct,false,
java250,gpt5,GPT-5.4-mini,dead_code,250,0.5988000000000001,0.7,0.584,0.4992791301459074,0.5104995965957642,0.524,0.62,0.364,0.256,evaluation/java250/GPT5_Results/combined_results_Dataset_DeadCode_Description.json,direct,false,
java250,gpt5,GPT-5.4-mini,encryption,250,0.484,0.4,0.46,0.41887065416574476,0.3953806012868881,0.328,0.644,0.216,0.428,evaluation/java250/GPT5_Results/combined_results_Dataset_Encryption_Description.json,direct,false,
java250,codellama,CodeLlama,with_comments,250,0.2448,0.1,0.304,0.3507105631,0.3490947187,0.28,0.616,0.1,0.516,evaluation/java250/codellama_Results/combined_results_Data_With_Comments_Description.json,baseline,false,combined_results
java250,codellama,CodeLlama,without_comments,250,0.1612,0,0.18,0.3579117405,0.3480949402,0.272,0.676,0.064,0.612,evaluation/java250/codellama_Results/combined_results_Data_Without_Comments_Description.json,baseline,false,combined_results
java250,codellama,CodeLlama,renaming,250,0.1018,0,0.116,0.3159558521,0.309622094,0.18,0.76,0.028,0.732,evaluation/java250/codellama_Results/combined_results_Variable_Renaming_Description.json,baseline,false,combined_results
java250,codellama,CodeLlama,dead_code,250,0.1096,0,0.12,0.2952189984,0.2920690626,0.164,0.772,0.028,0.744,evaluation/java250/codellama_Results/combined_results_Dataset_DeadCode_Description.json,baseline,false,combined_results
java250,codellama,CodeLlama,encryption,250,0.0774,0,0.108,0.2502975136,0.2181244493,0.1,0.808,0.008,0.8,evaluation/java250/codellama_Results/combined_results_Dataset_Encryption_Description.json,baseline,false,combined_results
java250,starchat,StarChat,with_comments,250,0.1768666667,,,0.4448,,,,,,results/llm_performance_by_transformation_complexity.csv,baseline,false,paper_csv_fallback
java250,starchat,StarChat,without_comments,250,0.1335333333,,,0.4448,,,,,,results/llm_performance_by_transformation_complexity.csv,baseline,false,paper_csv_fallback
java250,starchat,StarChat,renaming,250,0.13652,,,0.4448,,,,,,results/llm_performance_by_transformation_complexity.csv,baseline,false,paper_csv_fallback
java250,starchat,StarChat,dead_code,250,0.13832,,,0.4448,,,,,,results/llm_performance_by_transformation_complexity.csv,baseline,false,paper_csv_fallback
java250,starchat,StarChat,encryption,250,0.06772,,,0.4448,,,,,,results/llm_performance_by_transformation_complexity.csv,baseline,false,paper_csv_fallback
java250,starcoder,StarCoder,with_comments,250,0.01413333333,,,0.1383,,,,,,results/llm_performance_by_transformation_complexity.csv,baseline,false,paper_csv_fallback
java250,starcoder,StarCoder,without_comments,250,0.01973333333,,,0.1383,,,,,,results/llm_performance_by_transformation_complexity.csv,baseline,false,paper_csv_fallback
java250,starcoder,StarCoder,renaming,250,0.09004,,,0.1383,,,,,,results/llm_performance_by_transformation_complexity.csv,baseline,false,paper_csv_fallback
java250,starcoder,StarCoder,dead_code,250,0.07408,,,0.1383,,,,,,results/llm_performance_by_transformation_complexity.csv,baseline,false,paper_csv_fallback
java250,starcoder,StarCoder,encryption,250,0.04656,,,0.1383,,,,,,results/llm_performance_by_transformation_complexity.csv,baseline,false,paper_csv_fallback
java250,qwen3vl,Qwen3-VL-8B-Instruct,with_comments,250,0.3404,0.325,0.316,0.4649467134,0.4737159759,0.452,0.56,0.164,0.396,evaluation/java250/Qwen3VL_Results/combined_results_Data_With_Comments_Description.json,baseline,false,combined_results
java250,qwen3vl,Qwen3-VL-8B-Instruct,without_comments,250,0.2368,0.15,0.208,0.4184479744,0.4118180722,0.308,0.692,0.104,0.588,evaluation/java250/Qwen3VL_Results/combined_results_Data_Without_Comments_Description.json,baseline,false,combined_results
java250,qwen3vl,Qwen3-VL-8B-Instruct,renaming,250,0.0786,0,0.052,0.3138977202,0.291599378,0.168,0.804,0.012,0.792,evaluation/java250/Qwen3VL_Results/combined_results_Variable_Renaming_Description.json,baseline,false,combined_results
java250,qwen3vl,Qwen3-VL-8B-Instruct,dead_code,250,0.0608,0,0.032,0.3209068685,0.3068782687,0.128,0.872,0.016,0.856,evaluation/java250/Qwen3VL_Results/combined_results_Dataset_DeadCode_Description.json,baseline,false,combined_results
java250,qwen3vl,Qwen3-VL-8B-Instruct,encryption,250,0.0414,0,0.024,0.2755263874,0.2504678369,0.1,0.908,0.016,0.892,evaluation/java250/Qwen3VL_Results/combined_results_Dataset_Encryption_Description.json,baseline,false,combined_results
java250,llamavl,Llama-3.2-11B-Vision-Instruct,with_comments,250,0.0174,0,0.008,0.2111364112,0.1639022678,0.084,0.916,0.004,0.912,evaluation/java250/LlamaVL_Results/combined_results_Data_With_Comments_Description.json,baseline,false,combined_results
java250,llamavl,Llama-3.2-11B-Vision-Instruct,without_comments,250,0.001,0,0,0.1465808908,0.1336345226,0.012,0.988,0,0.988,evaluation/java250/LlamaVL_Results/combined_results_Data_Without_Comments_Description.json,baseline,false,combined_results
java250,llamavl,Llama-3.2-11B-Vision-Instruct,renaming,250,0.003,0,0.004,0.1257724665,0.1116644144,0.008,0.988,0,0.988,evaluation/java250/LlamaVL_Results/combined_results_Variable_Renaming_Description.json,baseline,false,combined_results
java250,llamavl,Llama-3.2-11B-Vision-Instruct,dead_code,250,0.001,0,0,0.1142554352,0.09068129212,0.004,0.996,0,0.996,evaluation/java250/LlamaVL_Results/combined_results_Dataset_DeadCode_Description.json,baseline,false,combined_results
java250,llamavl,Llama-3.2-11B-Vision-Instruct,encryption,250,0,0,0,0.111786439,0.1037762687,0,1,0,1,evaluation/java250/LlamaVL_Results/combined_results_Dataset_Encryption_Description.json,baseline,false,combined_results
java656,gpt4o,GPT-4o,with_comments,656,0.7679878048780489,1.0,0.7713414634146342,0.6303223392176556,0.6484107375144958,0.8323170731707317,0.7347560975609756,0.6692073170731707,0.06554878048780488,evaluation/java656/GPT4o_Results/combined_results_Data_With_Comments_Description.json,direct,false,
java656,gpt4o,GPT-4o,without_comments,656,0.7678353658536585,1.0,0.774390243902439,0.6300629833713174,0.650304526090622,0.823170731707317,0.75,0.6737804878048781,0.07621951219512195,evaluation/java656/GPT4o_Results/combined_results_Data_Without_Comments_Description.json,direct,false,
java656,gpt4o,GPT-4o,renaming,656,0.7490853658536585,0.9,0.75,0.5899036051478328,0.6022014915943146,0.7560975609756098,0.6951219512195121,0.600609756097561,0.09451219512195122,evaluation/java656/GPT4o_Results/combined_results_Variable_Renaming_Description.json,direct,false,
java656,gpt4o,GPT-4o,dead_code,656,0.7388719512195122,1.0,0.7195121951219512,0.6121086018250846,0.6230934262275696,0.7728658536585366,0.7179878048780488,0.6051829268292683,0.11280487804878049,evaluation/java656/GPT4o_Results/combined_results_Dataset_DeadCode_Description.json,direct,false,
java656,gpt4o,GPT-4o,encryption,656,0.6739329268292683,0.9,0.6585365853658537,0.5810592912773533,0.5951665341854095,0.6996951219512195,0.711890243902439,0.5350609756097561,0.17682926829268292,evaluation/java656/GPT4o_Results/combined_results_Dataset_Encryption_Description.json,direct,false,
java656,gpt35,GPT-3.5-turbo,with_comments,656,0.7442073170731707,0.9,0.7469512195121951,0.6481880531532735,0.6688118875026703,0.8932926829268293,0.7347560975609756,0.6875,0.04725609756097561,evaluation/java656/GPT3.5_Results/combined_results_Data_With_Comments_Description.json,direct,false,
java656,gpt35,GPT-3.5-turbo,without_comments,656,0.7522865853658537,1.0,0.7576219512195121,0.6488279295721795,0.670351505279541,0.8932926829268293,0.760670731707317,0.7057926829268293,0.054878048780487805,evaluation/java656/GPT3.5_Results/combined_results_Data_Without_Comments_Description.json,direct,false,
java656,gpt35,GPT-3.5-turbo,renaming,656,0.7147865853658537,0.9,0.7149390243902439,0.6189368075077853,0.6280950307846069,0.8307926829268293,0.7073170731707317,0.6265243902439024,0.08079268292682927,evaluation/java656/GPT3.5_Results/combined_results_Variable_Renaming_Description.json,direct,false,
java656,gpt35,GPT-3.5-turbo,dead_code,656,0.707469512195122,0.9,0.7042682926829268,0.6187572675961547,0.6320076584815979,0.8414634146341463,0.7164634146341463,0.6310975609756098,0.08536585365853659,evaluation/java656/GPT3.5_Results/combined_results_Dataset_DeadCode_Description.json,direct,false,
java656,gpt35,GPT-3.5-turbo,encryption,656,0.5839939024390244,0.7,0.5594512195121951,0.5851704011807536,0.6014893651008606,0.7378048780487805,0.6722560975609756,0.4847560975609756,0.1875,evaluation/java656/GPT3.5_Results/combined_results_Dataset_Encryption_Description.json,direct,false,
java656,o4mini,O4-mini,with_comments,656,0.7496951219512196,0.9,0.7652439024390244,0.6341579485593772,0.6550896763801575,0.8689024390243902,0.774390243902439,0.7042682926829268,0.0701219512195122,evaluation/java656/O4-mini_Results/combined_results_Data_With_Comments_Description.json,direct,false,
java656,o4mini,O4-mini,without_comments,656,0.7503048780487804,0.9,0.7652439024390244,0.6357986308270838,0.658843994140625,0.8704268292682927,0.7576219512195121,0.6966463414634146,0.06097560975609756,evaluation/java656/O4-mini_Results/combined_results_Data_Without_Comments_Description.json,direct,false,
java656,o4mini,O4-mini,renaming,656,0.7399390243902441,0.9,0.7515243902439024,0.625345605357391,0.6463390290737152,0.8490853658536586,0.7560975609756098,0.6783536585365854,0.07774390243902439,evaluation/java656/O4-mini_Results/combined_results_Variable_Renaming_Description.json,direct,false,
java656,o4mini,O4-mini,dead_code,656,0.7298780487804878,0.9,0.7286585365853658,0.6215043659208388,0.6426812708377838,0.8582317073170732,0.7545731707317073,0.6707317073170732,0.08384146341463415,evaluation/java656/O4-mini_Results/combined_results_Dataset_DeadCode_Description.json,direct,false,
java656,o4mini,O4-mini,encryption,656,0.6963414634146342,0.9,0.6890243902439024,0.5949501990590517,0.6135852336883545,0.7698170731707317,0.7057926829268293,0.5823170731707317,0.12347560975609756,evaluation/java656/O4-mini_Results/combined_results_Dataset_Encryption_Description.json,direct,false,
java656,gemini,Gemini-3-preview,with_comments,656,0.7897865853658537,1.0,0.7972560975609756,0.6393574854904195,0.6604415476322174,0.8628048780487805,0.7942073170731707,0.7271341463414634,0.06707317073170732,evaluation/java656/Gemini_Results/combined_results_Data_With_Comments_Description.json,direct,false,
java656,gemini,Gemini-3-preview,without_comments,656,0.7833841463414634,1.0,0.7926829268292683,0.63591738585837,0.6582207977771759,0.8551829268292683,0.7850609756097561,0.7164634146341463,0.06859756097560976,evaluation/java656/Gemini_Results/combined_results_Data_Without_Comments_Description.json,direct,false,
