dataset,model_key,model,s_enc,s_dead,s_lex,comprehension_level,n_problems,source,is_completed
javascript250,claude_sonnet_5,Claude Sonnet 5,0.679433,0.745175,0.751643,Semantic,247,direct,false
javascript250,deepseek_r1,DeepSeek-R1,0.724240,0.799575,0.797483,Semantic,250,direct,false
javascript250,deepseek_v31,DeepSeek-V3.1,0.628640,0.691050,0.712967,Semantic,250,direct,false
javascript250,deepseek_v4_pro,DeepSeek-V4-Pro,0.566400,0.654700,0.695767,Semantic,250,direct,false
javascript250,gemini,Gemini-3-preview,0.290960,0.275825,0.385343,Lexical,250,direct,false
javascript250,glm5,GLM-5,0.782460,0.827300,0.798000,Semantic,250,direct,false
javascript250,gpt35,GPT-3.5-turbo,0.361260,0.479550,0.555833,Lexical,250,direct,false
javascript250,gpt4o,GPT-4o,0.574615,0.631579,0.663192,Semantic,247,direct,false
javascript250,gpt5,GPT-5-nano,0.525020,0.602825,0.648533,Semantic,250,direct,false
javascript250,kimi_k25,Kimi-K2.7,0.774020,0.830725,0.795083,Semantic,250,direct,false
javascript250,llama70b,Llama-70B,0.345764,0.404446,0.527528,Lexical,239,direct,false
javascript250,mistral,Mistral,0.463516,0.596130,0.629556,Structural,247,direct,false
javascript250,o4mini,O4-mini,0.743460,0.787600,0.777250,Semantic,250,direct,false
javascript250,qwen37_plus,Qwen3.7-plus,0.711778,0.781172,0.756658,Semantic,239,direct,false
javascript250,qwencoder32b,Qwen2.5-Coder-32B,0.513880,0.537150,0.669100,Semantic,250,direct,false
javascript454,claude_sonnet_5,Claude Sonnet 5,0.649438,0.809141,0.870756,Semantic,454,direct,false
javascript454,deepseek_r1,DeepSeek-R1,0.740000,0.798830,0.834003,Semantic,454,direct,false
javascript454,deepseek_v31,DeepSeek-V3.1,0.713933,0.791960,0.837096,Semantic,454,direct,false
javascript454,deepseek_v4_pro,DeepSeek-V4-Pro,0.721854,0.761151,0.826221,Semantic,454,direct,false
javascript454,gemini,Gemini-3-preview,0.328933,0.319155,0.617458,Lexical,454,direct,false
javascript454,glm5,GLM-5,0.789607,0.863822,0.867865,Semantic,454,direct,false
javascript454,gpt35,GPT-3.5-turbo,0.382416,0.710597,0.797381,Structural,454,direct,false
javascript454,gpt4o,GPT-4o,0.553371,0.773444,0.824137,Semantic,454,direct,false
javascript454,gpt5,GPT-5-nano,0.332697,0.701858,0.804901,Structural,454,direct,false
javascript454,kimi_k25,Kimi-K2.7,0.765000,0.852395,0.855130,Semantic,454,direct,false
javascript454,llama70b,Llama-70B,0.217191,0.526267,0.794420,Structural,454,direct,false
javascript454,mistral,Mistral,0.432697,0.711481,0.790116,Structural,454,direct,false
javascript454,o4mini,O4-mini,0.627584,0.811137,0.844117,Semantic,454,direct,false
javascript454,qwen37_plus,Qwen3.7-plus,0.775449,0.848472,0.832039,Semantic,454,direct,false
javascript454,qwencoder32b,Qwen2.5-Coder-32B,0.503820,0.653566,0.798284,Semantic,454,direct,false
javascript704,claude_sonnet_5,Claude Sonnet 5,0.6715582065,0.7864258011,0.8284573494,Semantic,704,direct,false
javascript704,deepseek_r1,DeepSeek-R1,0.7283775811,0.7990945597,0.82103425,Semantic,704,direct,false
javascript704,deepseek_v31,DeepSeek-V3.1,0.6510325575,0.756125483,0.7930160994,Semantic,704,direct,false
javascript704,deepseek_v4_pro,DeepSeek-V4-Pro,0.6072124071,0.7233487983,0.7798950057,Semantic,704,direct,false
javascript704,gemini,Gemini-3-preview,0.3009293127,0.3037679261,0.5350307983,Lexical,704,direct,false
javascript704,glm5,GLM-5,0.784336351,0.8508525398,0.8430549858,Semantic,704,direct,false
javascript704,gpt35,GPT-3.5-turbo,0.3668142301,0.6285490597,0.7116040114,Structural,704,direct,false
javascript704,gpt4o,GPT-4o,0.5690376667,0.723065804,0.7669832358,Semantic,704,direct,false
javascript704,gpt5,GPT-5-nano,0.4745281209,0.6666900313,0.7493725909,Structural,704,direct,false
javascript704,kimi_k25,Kimi-K2.7,0.7716519174,0.8446996875,0.8338064915,Semantic,704,direct,false
javascript704,llama70b,Llama-70B,0.3120088466,0.4830067017,0.6996430114,Lexical,704,direct,false
javascript704,mistral,Mistral,0.4554248761,0.6705182869,0.7330989545,Structural,704,direct,false
javascript704,o4mini,O4-mini,0.7130382773,0.8027786903,0.8203716165,Semantic,704,direct,false
javascript704,qwen37_plus,Qwen3.7-plus,0.7284939853,0.8245728523,0.805270179,Semantic,704,direct,false
javascript704,qwencoder32b,Qwen2.5-Coder-32B,0.5112388791,0.6122250909,0.752409,Semantic,704,direct,false
javascript250,llamavl,Llama-3.2-11B-Vision-Instruct,0.2845994932,0.2684575141,0.2421296871,Lexical,250,completed,true
javascript250,qwen3vl,Qwen3-VL-8B-Instruct,0.3917159835,0.4248599122,0.4722100774,Lexical,250,completed,true
javascript250,codellama,CodeLlama,0.2052923096,0.2678284516,0.2738018471,Lexical,250,completed,true
javascript250,starchat,StarChat,0.3657118594,0.4738652777,0.415551299,Lexical,250,completed,true
javascript250,starcoder,StarCoder,0.1464215621,0.1417829011,0.138868497,Lexical,250,completed,true
javascript454,llamavl,Llama-3.2-11B-Vision-Instruct,0.3412969,0.3219391444,0.2903663344,Lexical,454,completed,true
javascript454,qwen3vl,Qwen3-VL-8B-Instruct,0.4697529478,0.5094997512,0.5662829324,Structural,454,completed,true
javascript454,codellama,CodeLlama,0.2461902798,0.3211847613,0.328348166,Lexical,454,completed,true
javascript454,starchat,StarChat,0.4385683281,0.5682678787,0.4983366926,Structural,454,completed,true
javascript454,starcoder,StarCoder,0.1755914063,0.1700286395,0.166533633,Lexical,454,completed,true
javascript704,llamavl,Llama-3.2-11B-Vision-Instruct,0.3211628777,0.3029470882,0.2732368432,Lexical,704,completed,true
javascript704,qwen3vl,Qwen3-VL-8B-Instruct,0.4420409576,0.4794429902,0.5328763788,Lexical,704,completed,true
javascript704,codellama,CodeLlama,0.2316668529,0.3022372081,0.3089780244,Lexical,704,completed,true
javascript704,starchat,StarChat,0.4126960026,0.5347442278,0.4689384704,Structural,704,completed,true
javascript704,starcoder,StarCoder,0.1652327969,0.1599981927,0.156709366,Lexical,704,completed,true
