dataset,model_key,model,problem_id,s_enc,s_dead,s_lex,source,is_completed
java250,claude_sonnet_5,Claude Sonnet 5,p02682,0.650000,0.693750,0.650000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02687,0.220000,0.625000,0.391667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02688,0.450000,0.600000,0.600000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02693,0.640000,0.687500,0.508333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02694,0.600000,0.650000,0.525000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02699,0.440000,0.675000,0.566667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02700,0.250000,0.775000,0.625000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02701,0.540000,0.612500,0.558333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02705,0.570000,0.700000,0.670833,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02706,0.540000,0.562500,0.475000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02707,0.720000,0.600000,0.575000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02711,0.390000,0.587500,0.566667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02712,0.590000,0.662500,0.566667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02713,0.580000,0.662500,0.691667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02717,0.570000,0.575000,0.358333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02718,0.700000,0.737500,0.533333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02719,0.730000,0.737500,0.516667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02723,0.420000,0.662500,0.491667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02724,0.500000,0.725000,0.491667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02725,0.590000,0.737500,0.491667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02729,0.360000,0.650000,0.575000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02730,0.600000,0.525000,0.525000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02731,0.520000,0.600000,0.550000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02753,0.330000,0.675000,0.325000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02754,0.400000,0.600000,0.450000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02755,0.440000,0.637500,0.550000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02759,0.640000,0.737500,0.541667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02766,0.835000,0.575000,0.591667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02767,0.580000,0.737500,0.591667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02771,0.210000,0.800000,0.808333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02772,0.310000,0.537500,0.604167,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02773,0.640000,0.637500,0.641667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02777,0.460000,0.662500,0.408333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02778,0.470000,0.500000,0.500000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02779,0.380000,0.650000,0.633333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02783,0.680000,0.525000,0.400000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02784,0.560000,0.700000,0.475000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02785,0.730000,0.787500,0.625000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02786,0.700000,0.512500,0.541667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02790,0.480000,0.512500,0.400000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02791,0.640000,0.575000,0.566667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02801,0.230000,0.675000,0.675000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02802,0.470000,0.550000,0.408333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02812,0.760000,0.787500,0.654167,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02818,0.630000,0.600000,0.545833,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02819,0.795000,0.700000,0.558333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02829,0.650000,0.375000,0.741667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02830,0.550000,0.662500,0.616667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02831,0.650000,0.725000,0.650000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02832,0.260000,0.362500,0.525000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02835,0.670000,0.675000,0.558333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02836,0.760000,0.700000,0.475000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02847,0.490000,0.737500,0.708333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02848,0.450000,0.700000,0.683333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02860,0.510000,0.550000,0.700000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02879,0.570000,0.675000,0.525000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02880,0.320000,0.806250,0.683333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02881,0.680000,0.600000,0.458333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02886,0.740000,0.831250,0.625000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02887,0.440000,0.550000,0.700000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02897,0.540000,0.575000,0.416667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02898,0.590000,0.562500,0.525000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02899,0.660000,0.725000,0.483333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02909,0.220000,0.487500,0.495833,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02910,0.210000,0.793750,0.708333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02911,0.450000,0.487500,0.350000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02916,0.370000,0.537500,0.625000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02917,0.570000,0.600000,0.558333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02921,0.440000,0.850000,0.725000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02922,0.630000,0.700000,0.600000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02923,0.650000,0.725000,0.612500,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02934,0.570000,0.750000,0.608333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02935,0.610000,0.650000,0.525000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02945,0.620000,0.487500,0.600000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02946,0.550000,0.637500,0.591667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02947,0.755000,0.675000,0.783333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02951,0.710000,0.262500,0.383333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02952,0.660000,0.700000,0.541667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02953,0.460000,0.487500,0.666667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02957,0.570000,0.625000,0.445833,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02958,0.220000,0.775000,0.666667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02959,0.410000,0.337500,0.433333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02970,0.510000,0.250000,0.400000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02971,0.670000,0.725000,0.633333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02981,0.480000,0.775000,0.400000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02982,0.690000,0.600000,0.666667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02983,0.490000,0.675000,0.566667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02987,0.280000,0.775000,0.829167,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02988,0.600000,0.500000,0.625000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02989,0.650000,0.487500,0.433333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02993,0.640000,0.750000,0.541667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02994,0.520000,0.487500,0.583333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02995,0.680000,0.750000,0.691667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03000,0.480000,0.637500,0.550000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03001,0.600000,0.625000,0.550000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03011,0.640000,0.550000,0.525000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03012,0.670000,0.600000,0.700000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03013,0.250000,0.718750,0.575000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03035,0.500000,0.537500,0.700000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03037,0.640000,0.687500,0.550000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03041,0.480000,0.662500,0.541667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03042,0.240000,0.718750,0.750000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03043,0.450000,0.450000,0.416667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03059,0.700000,0.656250,0.391667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03060,0.715000,0.650000,0.408333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03071,0.510000,0.525000,0.450000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03072,0.620000,0.375000,0.500000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03073,0.560000,0.662500,0.666667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03075,0.270000,0.562500,0.679167,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03076,0.500000,0.725000,0.533333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03086,0.600000,0.412500,0.716667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03087,0.500000,0.800000,0.725000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03102,0.600000,0.600000,0.666667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03106,0.760000,0.700000,0.808333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03107,0.450000,0.450000,0.575000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03109,0.220000,0.600000,0.550000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03126,0.720000,0.700000,0.716667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03136,0.630000,0.450000,0.650000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03146,0.640000,0.737500,0.600000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03147,0.600000,0.550000,0.633333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03160,0.790000,0.775000,0.708333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03161,0.660000,0.700000,0.741667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03220,0.530000,0.475000,0.450000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03239,0.450000,0.575000,0.508333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03242,0.580000,0.562500,0.466667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03243,0.450000,0.612500,0.625000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03261,0.670000,0.587500,0.658333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03281,0.530000,0.375000,0.583333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03282,0.720000,0.775000,0.508333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03285,0.270000,0.412500,0.650000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03289,0.230000,0.662500,0.766667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03292,0.460000,0.675000,0.558333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03293,0.710000,0.787500,0.591667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03308,0.640000,0.650000,0.458333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03315,0.290000,0.675000,0.541667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03316,0.570000,0.750000,0.725000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03324,0.520000,0.562500,0.508333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03325,0.780000,0.550000,0.612500,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03352,0.700000,0.725000,0.600000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03360,0.530000,0.675000,0.725000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03370,0.510000,0.525000,0.541667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03371,0.540000,0.587500,0.425000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03378,0.540000,0.512500,0.541667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03416,0.600000,0.750000,0.625000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03434,0.610000,0.681250,0.616667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03435,0.430000,0.550000,0.483333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03448,0.670000,0.625000,0.666667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03449,0.380000,0.700000,0.541667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03455,0.400000,0.687500,0.566667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03456,0.350000,0.662500,0.500000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03457,0.580000,0.756250,0.745833,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03469,0.520000,0.600000,0.508333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03470,0.580000,0.750000,0.708333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03471,0.490000,0.587500,0.583333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03474,0.190000,0.575000,0.658333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03478,0.560000,0.650000,0.558333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03493,0.555000,0.650000,0.554167,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03494,0.700000,0.675000,0.541667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03545,0.280000,0.737500,0.608333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03632,0.850000,0.725000,0.775000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03644,0.160000,0.675000,0.658333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03680,0.640000,0.700000,0.516667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03695,0.510000,0.662500,0.758333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03720,0.570000,0.612500,0.587500,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03775,0.590000,0.700000,0.658333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03814,0.470000,0.700000,0.725000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03835,0.500000,0.687500,0.608333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03854,0.280000,0.750000,0.608333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p03998,0.340000,0.562500,0.641667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p04012,0.540000,0.625000,0.700000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p04030,0.600000,0.425000,0.583333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p04043,0.170000,0.525000,0.691667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p04044,0.655000,0.625000,0.508333,direct,false
java250,deepseek_r1,DeepSeek-R1,p00001,0.740000,0.787500,0.775000,direct,false
java250,deepseek_r1,DeepSeek-R1,p00002,0.280000,0.725000,0.641667,direct,false
java250,deepseek_r1,DeepSeek-R1,p00003,0.430000,0.800000,0.841667,direct,false
java250,deepseek_r1,DeepSeek-R1,p00005,0.800000,0.675000,0.691667,direct,false
java250,deepseek_r1,DeepSeek-R1,p00006,0.610000,0.650000,0.616667,direct,false
java250,deepseek_r1,DeepSeek-R1,p00007,0.820000,0.731250,0.620833,direct,false
java250,deepseek_r1,DeepSeek-R1,p00011,0.640000,0.612500,0.583333,direct,false
java250,deepseek_r1,DeepSeek-R1,p02255,0.860000,0.750000,0.775000,direct,false
java250,deepseek_r1,DeepSeek-R1,p02256,0.430000,0.575000,0.566667,direct,false
java250,deepseek_r1,DeepSeek-R1,p02257,0.820000,0.775000,0.683333,direct,false
java250,deepseek_r1,DeepSeek-R1,p02258,0.510000,0.687500,0.720833,direct,false
java250,deepseek_r1,DeepSeek-R1,p02259,0.700000,0.800000,0.708333,direct,false
java250,deepseek_r1,DeepSeek-R1,p02260,0.670000,0.737500,0.800000,direct,false
java250,deepseek_r1,DeepSeek-R1,p02263,0.690000,0.800000,0.791667,direct,false
java250,deepseek_r1,DeepSeek-R1,p02264,0.760000,0.775000,0.641667,direct,false
java250,deepseek_r1,DeepSeek-R1,p02268,0.390000,0.650000,0.475000,direct,false
java250,deepseek_r1,DeepSeek-R1,p02381,0.470000,0.700000,0.750000,direct,false
java250,deepseek_r1,DeepSeek-R1,p02388,0.800000,0.675000,0.758333,direct,false
java250,deepseek_r1,DeepSeek-R1,p02389,0.720000,0.650000,0.500000,direct,false
java250,deepseek_r1,DeepSeek-R1,p02390,0.640000,0.700000,0.533333,direct,false
java250,deepseek_r1,DeepSeek-R1,p02391,0.270000,0.800000,0.700000,direct,false
java250,deepseek_r1,DeepSeek-R1,p02392,0.250000,0.787500,0.825000,direct,false
java250,deepseek_r1,DeepSeek-R1,p02393,0.660000,0.662500,0.783333,direct,false
java250,deepseek_r1,DeepSeek-R1,p02394,0.330000,0.462500,0.675000,direct,false
java250,deepseek_r1,DeepSeek-R1,p02396,0.400000,0.775000,0.683333,direct,false
java250,deepseek_r1,DeepSeek-R1,p02397,0.680000,0.700000,0.637500,direct,false
java250,deepseek_r1,DeepSeek-R1,p02398,0.690000,0.737500,0.716667,direct,false
java250,deepseek_r1,DeepSeek-R1,p02399,0.440000,0.725000,0.650000,direct,false
java250,deepseek_r1,DeepSeek-R1,p02400,0.520000,0.756250,0.854167,direct,false
java250,deepseek_r1,DeepSeek-R1,p02401,0.310000,0.775000,0.816667,direct,false
java250,deepseek_r1,DeepSeek-R1,p02402,0.500000,0.675000,0.716667,direct,false
java250,deepseek_r1,DeepSeek-R1,p02403,0.220000,0.675000,0.700000,direct,false
java250,deepseek_r1,DeepSeek-R1,p02404,0.290000,0.750000,0.733333,direct,false
java250,deepseek_r1,DeepSeek-R1,p02405,0.330000,0.800000,0.675000,direct,false
java250,deepseek_r1,DeepSeek-R1,p02406,0.820000,0.662500,0.666667,direct,false
java250,deepseek_r1,DeepSeek-R1,p02407,0.480000,0.637500,0.500000,direct,false
java250,deepseek_r1,DeepSeek-R1,p02408,0.520000,0.675000,0.625000,direct,false
java250,deepseek_r1,DeepSeek-R1,p02409,0.550000,0.700000,0.654167,direct,false
java250,deepseek_r1,DeepSeek-R1,p02410,0.490000,0.850000,0.758333,direct,false
java250,deepseek_r1,DeepSeek-R1,p02411,0.320000,0.850000,0.791667,direct,false
java250,deepseek_r1,DeepSeek-R1,p02412,0.460000,0.787500,0.658333,direct,false
java250,deepseek_r1,DeepSeek-R1,p02413,0.790000,0.725000,0.750000,direct,false
