dataset,model_key,model,n_problems,stability,pair_original_description__with_comments,pair_original_description__without_comments,pair_original_description__variable_renaming,pair_original_description__dead_code,pair_original_description__encryption,pair_with_comments__without_comments,pair_with_comments__variable_renaming,pair_with_comments__dead_code,pair_with_comments__encryption,pair_without_comments__variable_renaming,pair_without_comments__dead_code,pair_without_comments__encryption,pair_variable_renaming__dead_code,pair_variable_renaming__encryption,pair_dead_code__encryption,source,is_completed
java656,codellama,CodeLlama,656,0.3541696284,0.4696837029,0.3092851835,0.1953178144,0.2102832265,0.1485029355,,,,,,,,,,,completed,true
java656,starchat,StarChat,656,0.5881158496,0.3393439172,0.2562027388,0.2619330846,0.2653866413,0.1299304753,,,,,,,,,,,completed,true
java656,starcoder,StarCoder,656,0.2018343017,0.02711681509,0.03786121352,0.1727545777,0.1421330421,0.0893319984,,,,,,,,,,,completed,true
java656,qwen3vl,Qwen3-VL-8B-Instruct,656,0.6143789218,0.6531059333,0.4543345623,0.1508053066,0.1166534687,0.0794318027,,,,,,,,,,,completed,true
java656,llamavl,Llama-3.2-11B-Vision-Instruct,656,0.3742204091,0.03338438084,0.001918642577,0.005755927732,0.001918642577,0,,,,,,,,,,,completed,true
java906,claude_sonnet_5,Claude Sonnet 5,906,0.7485268322,0.7204473554,0.7155079912,0.644260468,0.6661698543,0.55281434,0.9339404945,0.8086646976,0.8352375541,0.6959157969,0.8100713996,0.8417496071,0.7019316645,0.8101545519,0.7506625166,0.7403699161,direct,false
java906,codellama,CodeLlama,906,0.3201691791,0.407629701,0.268422826,0.169512678,0.1825008792,0.1288829202,,,,,,,,,,,pooled,true
java906,deepseek_r1,DeepSeek-R1,906,0.7575792031,0.6822574128,0.6785874525,0.6334163885,0.6386034614,0.5453643091,0.9078363355,0.8490068256,0.8686536865,0.7427703488,0.8523733687,0.869839894,0.7467993819,0.8384103753,0.7552980574,0.7544700927,direct,false
java906,deepseek_v31,DeepSeek-V3.1,906,0.7445122318,0.7163907461,0.7097407947,0.6776492627,0.6499171832,0.5507724503,0.910540936,0.8610930243,0.8346301722,0.6846301015,0.8590780751,0.8358441413,0.6847678675,0.8176598675,0.6951710022,0.679801404,direct,false
java906,deepseek_v4_pro,DeepSeek-V4-Pro,906,0.7037304128,0.666473713,0.6776487947,0.5959438499,0.553973298,0.4455021104,0.9333833289,0.8364234967,0.8039735188,0.654580521,0.8379969536,0.8029247859,0.6502483885,0.7525661104,0.6717718146,0.6725439912,direct,false
java906,gemini,Gemini-3-preview,906,0.791184777,0.725634649,0.7245859249,0.7096299338,0.6706950287,0.6078089713,0.9383557439,0.8945366799,0.8498899603,0.782091894,0.892604883,0.8526488918,0.782616,0.8494480353,0.8014352053,0.7857891302,direct,false
java906,glm5,GLM-5,905,0.7872118011,0.7032316851,0.7051655304,0.6871821602,0.6629008398,0.5770715525,0.9403316133,0.8992540055,0.8661051657,0.778094,0.8972095912,0.8627620829,0.7745853812,0.8639779171,0.7960498122,0.7942542983,direct,false
java906,gpt35,GPT-3.5-turbo,906,0.6739497506,0.63192634,0.6397071611,0.5737859426,0.5615064194,0.4301049007,0.9068705519,0.7955847241,0.7733996026,0.580684521,0.7991999117,0.7774836909,0.584519585,0.800441457,0.6347957704,0.6192327152,direct,false
java906,gpt4o,GPT-4o,906,0.6941652362,0.6674116291,0.6661422605,0.5823949669,0.5686533863,0.4506070993,0.9188518499,0.8137966711,0.7898180397,0.6348513377,0.8096852627,0.7882449272,0.6349063576,0.7804082031,0.6607340486,0.6459710552,direct,false
java906,gpt5,GPT-5-nano,906,0.741564,0.6638162031,0.6567534923,0.6382607174,0.6221887528,0.5160058609,0.9040044547,0.8513098344,0.8667766468,0.7013424106,0.8563217483,0.8660984018,0.7024367417,0.8386862958,0.7214014305,0.718458702,direct,false
java906,kimi_k25,Kimi-K2.7,906,0.7912968742,0.7127206799,0.7134106137,0.6884659779,0.6624173775,0.5933500044,0.9275664018,0.8952816954,0.8849891214,0.7854579603,0.8920526269,0.882036468,0.7850439912,0.875441351,0.7817604503,0.789459117,direct,false
java906,llama70b,Llama-70B,906,0.6769492031,0.6410873907,0.6420804503,0.5637138985,0.5777320971,0.4526768742,0.8868656247,0.770391638,0.781070755,0.6096854216,0.7770969978,0.7889900221,0.6082231876,0.7732893157,0.6493104901,0.6320310552,direct,false
java906,llamavl,Llama-3.2-11B-Vision-Instruct,906,0.3382950755,0.02897367973,0.001665154007,0.004995462022,0.001665154007,0,,,,,,,,,,,pooled,true
java906,mistral,Mistral,906,0.6635007042,0.6415842296,0.635871947,0.5704191611,0.569895479,0.4310152406,0.8629412097,0.7767109845,0.7655905695,0.5844095894,0.7767934128,0.7743379514,0.5921636733,0.7421912848,0.6226268344,0.6059605121,direct,false
java906,o4mini,O4-mini,906,0.7837196556,0.6883832936,0.6977370773,0.685651479,0.6753035585,0.6031181722,0.9095750464,0.8857339868,0.8739516821,0.7806844062,0.8814295099,0.8733722119,0.7812637969,0.8640449713,0.7811531832,0.7743931832,direct,false
java906,qwen37_plus,Qwen3.7-plus,906,0.7587014459,0.6723453951,0.6858447064,0.6558500397,0.64544717,0.5657836115,0.9019758411,0.8573124503,0.8303255011,0.7530353377,0.8493102517,0.8279799558,0.7483718322,0.8334157792,0.7766555232,0.7768488124,direct,false
java906,qwen3vl,Qwen3-VL-8B-Instruct,906,0.5553982591,0.5668184241,0.394308469,0.130881105,0.1012413637,0.06893737591,,,,,,,,,,,pooled,true
java906,qwencoder32b,Qwen2.5-Coder-32B,906,0.6812633907,0.6896249183,0.6852648653,0.5621298366,0.5736408124,0.4168320706,0.9501383046,0.7922735806,0.788659064,0.6017106932,0.7923838146,0.7953915585,0.5859270905,0.7397629227,0.6418597263,0.6029526446,direct,false
java906,starchat,StarChat,906,0.531656454,0.2945102388,0.2223535651,0.2273268251,0.2303241023,0.1127642294,,,,,,,,,,,pooled,true
java906,starcoder,StarCoder,906,0.1824581147,0.02353417664,0.03285903907,0.1499304669,0.1233546088,0.07752957059,,,,,,,,,,,pooled,true
javascript250,claude_sonnet_5,Claude Sonnet 5,247,0.726280,0.624492,0.608943,0.596646,0.504878,0.411484,0.912093,0.877846,0.801524,0.700102,0.889837,0.820732,0.720102,0.851931,0.756809,0.811077,direct,false
javascript250,deepseek_r1,DeepSeek-R1,250,0.773627,0.709900,0.733800,0.675600,0.649600,0.549700,0.896100,0.883100,0.837100,0.750200,0.886400,0.851300,0.755200,0.860300,0.776600,0.789500,direct,false
javascript250,deepseek_v31,DeepSeek-V3.1,250,0.679013,0.599400,0.609200,0.558100,0.465400,0.360000,0.867100,0.819900,0.752700,0.650600,0.824100,0.756600,0.660600,0.789500,0.696100,0.775900,direct,false
javascript250,deepseek_v4_pro,DeepSeek-V4-Pro,250,0.641693,0.584300,0.602300,0.483600,0.419900,0.307000,0.901600,0.807600,0.717600,0.583300,0.795200,0.710600,0.561100,0.770700,0.641600,0.739000,direct,false
javascript250,gemini,Gemini-3-preview,250,0.324649,0.414600,0.387800,0.261900,0.250000,0.278200,0.606124,0.331800,0.298700,0.321200,0.310700,0.291800,0.306200,0.262800,0.240200,0.309000,direct,false
javascript250,glm5,GLM-5,250,0.800633,0.705900,0.725900,0.681900,0.683600,0.620000,0.913200,0.880200,0.869500,0.815600,0.880900,0.875300,0.824900,0.880800,0.817900,0.833900,direct,false
javascript250,gpt35,GPT-3.5-turbo,250,0.470633,0.414000,0.383600,0.280800,0.183000,0.090600,0.826600,0.697800,0.538700,0.336200,0.732200,0.549400,0.361600,0.647100,0.435700,0.582200,direct,false
javascript250,gpt4o,GPT-4o,247,0.625236,0.530285,0.545020,0.459451,0.366565,0.265041,0.881020,0.778367,0.697449,0.586327,0.790447,0.712093,0.593902,0.758232,0.650610,0.785163,direct,false
javascript250,gpt5,GPT-5-nano,250,0.595238,0.478600,0.489113,0.366100,0.209700,0.124100,0.899300,0.829500,0.701000,0.523996,0.826800,0.693900,0.515200,0.806700,0.660743,0.803815,direct,false
javascript250,kimi_k25,Kimi-K2.7,250,0.797567,0.709000,0.703000,0.680500,0.668500,0.567900,0.902400,0.884800,0.884200,0.819900,0.890800,0.880700,0.812700,0.889500,0.828300,0.841300,direct,false
javascript250,llama70b,Llama-70B,239,0.434064,0.436920,0.442017,0.300210,0.188608,0.123739,0.773845,0.603046,0.441419,0.291597,0.607458,0.428466,0.294351,0.556904,0.397689,0.616071,direct,false
javascript250,mistral,Mistral,247,0.564011,0.482114,0.484451,0.371341,0.294106,0.183130,0.873679,0.782317,0.677846,0.467378,0.784388,0.667041,0.464837,0.744919,0.546224,0.664939,direct,false
javascript250,o4mini,O4-mini,250,0.768747,0.681600,0.683700,0.655800,0.616400,0.568300,0.894200,0.872500,0.838400,0.768800,0.875700,0.844300,0.774700,0.851300,0.789400,0.816100,direct,false
javascript250,qwen37_plus,Qwen3.7-plus,239,0.748472,0.651471,0.649153,0.642857,0.616282,0.501371,0.887500,0.851688,0.832173,0.769643,0.855380,0.834388,0.745397,0.840795,0.756067,0.782563,direct,false
javascript250,qwencoder32b,Qwen2.5-Coder-32B,250,0.582173,0.555000,0.555300,0.468100,0.288000,0.232200,0.908600,0.766100,0.602500,0.491000,0.761500,0.600800,0.498400,0.657300,0.571000,0.776800,direct,false
javascript454,claude_sonnet_5,Claude Sonnet 5,454,0.833441,0.809912,0.806278,0.790749,0.695485,0.552528,0.963414,0.926156,0.838767,0.611236,0.928029,0.836949,0.624438,0.865363,0.673596,0.785393,direct,false
javascript454,deepseek_r1,DeepSeek-R1,454,0.814855,0.760132,0.754350,0.737555,0.678139,0.641854,0.933315,0.908095,0.833700,0.746910,0.910573,0.834141,0.741573,0.849339,0.756180,0.813483,direct,false
javascript454,deepseek_v31,DeepSeek-V3.1,454,0.812137,0.792841,0.790914,0.754681,0.725881,0.642135,0.919548,0.881498,0.801046,0.684270,0.883095,0.805066,0.693820,0.835848,0.720787,0.828652,direct,false
javascript454,deepseek_v4_pro,DeepSeek-V4-Pro,454,0.794848,0.748733,0.749174,0.715474,0.618722,0.565730,0.952037,0.898128,0.803469,0.729775,0.893778,0.803855,0.738764,0.818557,0.742697,0.832303,direct,false
javascript454,gemini,Gemini-3-preview,454,0.489844,0.694568,0.689956,0.540198,0.332450,0.351404,0.714712,0.536949,0.322075,0.378652,0.529470,0.315985,0.349438,0.305960,0.328090,0.237079,direct,false
javascript454,glm5,GLM-5,454,0.861242,0.792896,0.801872,0.786068,0.756333,0.644382,0.959615,0.932159,0.892621,0.809551,0.934581,0.894989,0.805056,0.911344,0.821348,0.867697,direct,false
javascript454,gpt35,GPT-3.5-turbo,454,0.737757,0.750165,0.749615,0.675441,0.624780,0.324157,0.948216,0.831388,0.721189,0.369101,0.829460,0.721476,0.363202,0.774945,0.384831,0.470787,direct,false
javascript454,gpt4o,GPT-4o,454,0.787673,0.747687,0.738601,0.713436,0.629075,0.419101,0.962004,0.890859,0.812059,0.544944,0.892236,0.816134,0.538202,0.836509,0.581461,0.683146,direct,false
javascript454,gpt5,GPT-5-nano,454,0.734616,0.751762,0.748513,0.676927,0.553249,0.187921,0.937170,0.859581,0.732048,0.270787,0.855452,0.739042,0.257303,0.783095,0.306742,0.640730,direct,false
javascript454,kimi_k25,Kimi-K2.7,454,0.848346,0.777258,0.790363,0.762445,0.732159,0.655337,0.950441,0.924394,0.892676,0.774438,0.925881,0.888656,0.781180,0.896090,0.771629,0.842416,direct,false
javascript454,llama70b,Llama-70B,454,0.658359,0.745319,0.757048,0.690143,0.436894,0.126404,0.922302,0.823128,0.541850,0.147191,0.828579,0.536178,0.142697,0.590143,0.158427,0.511236,direct,false
javascript454,mistral,Mistral,454,0.736492,0.730176,0.749119,0.692952,0.612225,0.325843,0.909581,0.829240,0.739758,0.387640,0.829626,0.728194,0.412360,0.765749,0.415449,0.622191,direct,false
javascript454,o4mini,O4-mini,454,0.818300,0.769273,0.772412,0.763051,0.694714,0.491573,0.933370,0.914482,0.841850,0.614045,0.912115,0.851267,0.620225,0.856718,0.625562,0.786517,direct,false
javascript454,qwen37_plus,Qwen3.7-plus,454,0.833583,0.772296,0.748073,0.760738,0.760628,0.652809,0.914758,0.902478,0.877037,0.769663,0.893590,0.864097,0.774438,0.892126,0.815449,0.864888,direct,false
javascript454,qwencoder32b,Qwen2.5-Coder-32B,454,0.724884,0.754515,0.751322,0.680837,0.548789,0.401124,0.983535,0.808480,0.666960,0.452809,0.811013,0.669824,0.453371,0.728689,0.519663,0.692135,direct,false
javascript704,claude_sonnet_5,Claude Sonnet 5,701,0.7956824165,0.7445785621,0.7367462668,0.7223560742,0.628323903,0.4485132507,0.9453308516,0.9091337889,0.8256442882,0.6767713982,0.9145719044,0.8312348787,0.6949866726,0.860630184,0.7349625192,0.8043340029,direct,false
javascript704,deepseek_r1,DeepSeek-R1,704,0.800214375,0.7422939318,0.7470524148,0.7155539347,0.6680044119,0.573893823,0.920099446,0.8992189347,0.8349073864,0.7493362537,0.9019888381,0.8402343949,0.75162241,0.8532314006,0.7712389971,0.7957964218,direct,false
javascript704,deepseek_v31,DeepSeek-V3.1,704,0.7648628523,0.7241474631,0.7263848807,0.6848724063,0.6333806449,0.4340708407,0.900923,0.8596237102,0.7838776761,0.6594396165,0.862145071,0.7878550625,0.6693214749,0.8193891932,0.7025812478,0.7897493451,direct,false
javascript704,deepseek_v4_pro,DeepSeek-V4-Pro,704,0.740460571,0.6903405994,0.6970170398,0.6331323807,0.5481175966,0.3749261652,0.9341261335,0.8659802727,0.7729757472,0.6217550885,0.858771608,0.7707388778,0.607743351,0.8015623267,0.6681416903,0.7634954779,direct,false
javascript704,gemini,Gemini-3-preview,704,0.4311810028,0.5951475455,0.5826562841,0.4413705852,0.3031708807,0.2974187493,0.6761509205,0.4640977926,0.3137742188,0.3362832684,0.4517817898,0.3073965767,0.3175515693,0.2906332955,0.2632743658,0.2901180855,direct,false
javascript704,glm5,GLM-5,704,0.8397189176,0.7620025341,0.7748933068,0.7490765227,0.7305045199,0.626401174,0.9431324006,0.9137076506,0.8844104176,0.8140119145,0.9155181449,0.8879971676,0.8196902183,0.9004974091,0.8188052271,0.8427729587,direct,false
javascript704,gpt35,GPT-3.5-turbo,704,0.642897625,0.6307882244,0.6196380824,0.5352985994,0.4678978977,0.1519173245,0.9050285,0.7839490795,0.6563846676,0.3448377257,0.7949216477,0.6603694659,0.3620205841,0.7295454972,0.4223450118,0.5529499794,direct,false
javascript704,gpt4o,GPT-4o,701,0.730437709,0.6710845835,0.6703920029,0.6239434251,0.5365786091,0.3054874307,0.9334689815,0.8512220185,0.7716757332,0.5754624366,0.8563702611,0.7794747603,0.5792786962,0.8089278031,0.6324558378,0.7583797758,direct,false
javascript704,gpt5,GPT-5-nano,704,0.6851209716,0.6547584489,0.6563965227,0.5665480937,0.4312500653,0.1408553658,0.9237218466,0.8488988267,0.7210224318,0.4575193009,0.8452772841,0.7230114602,0.447492528,0.7914774574,0.5678046844,0.760999174,direct,false
javascript704,kimi_k25,Kimi-K2.7,704,0.8303136847,0.7530186534,0.7593392074,0.7333452131,0.709552821,0.5908554366,0.9333809858,0.9103336307,0.8896660568,0.8079645487,0.9134232585,0.8858307159,0.8044248378,0.8937498011,0.8134217729,0.8415929912,direct,false
javascript704,llama70b,Llama-70B,693,0.5810047359,0.6389591717,0.6484009452,0.5556639423,0.3512657835,0.1244386608,0.871102544,0.7472267042,0.5072136234,0.2536851003,0.7523193766,0.4990305714,0.254536233,0.5786796219,0.3348739027,0.5885479469,direct,false
javascript704,mistral,Mistral,701,0.6757176676,0.6427704165,0.6558622297,0.5796311484,0.5001345678,0.2205974248,0.8969307946,0.8127065036,0.7179430728,0.4464438348,0.8136862197,0.7066465093,0.4510598525,0.7584094708,0.5118907404,0.6537160737,direct,false
javascript704,o4mini,O4-mini,704,0.800703054,0.7381391222,0.7409091591,0.7249647074,0.6669036307,0.5481563333,0.9194601989,0.8995736193,0.840624858,0.7281711062,0.8991835369,0.8487929233,0.7341446165,0.8547939943,0.7463864838,0.8083333717,direct,false
javascript704,qwen37_plus,Qwen3.7-plus,693,0.8042301443,0.7306261948,0.713957733,0.7200835137,0.7108463348,0.541129059,0.9053573333,0.8849616797,0.8615644228,0.7696482507,0.8804122367,0.853851039,0.7530213333,0.874423101,0.7716569646,0.8041763481,direct,false
javascript704,qwencoder32b,Qwen2.5-Coder-32B,704,0.6742053778,0.6836645028,0.6817119148,0.6052911903,0.4561792699,0.2765487788,0.9569245597,0.7934302841,0.644069375,0.4809734543,0.7934302585,0.6453126364,0.4865782271,0.7033377926,0.5575221445,0.7545723156,direct,false
javascript250,codellama,CodeLlama,250,0.2491993561,0.322425656,0.2129963953,0.1353903686,0.1347551807,0.09778829268,,,,,,,,,,,completed,true
javascript250,starchat,StarChat,250,0.41380762,0.2329507804,0.1764399419,0.1815667301,0.1700669398,0.08555843902,,,,,,,,,,,completed,true
javascript250,starcoder,StarCoder,250,0.1420138091,0.01861498885,0.02607400041,0.1197499881,0.0910826988,0.05882458537,,,,,,,,,,,completed,true
javascript250,qwen3vl,Qwen3-VL-8B-Instruct,250,0.4322867333,0.4483402504,0.312888005,0.1045351962,0.0747546988,0.05230536585,,,,,,,,,,,completed,true
javascript250,llamavl,Llama-3.2-11B-Vision-Instruct,250,0.2633074027,0.02291750986,0.001321317589,0.003989892985,0.001229518072,0,,,,,,,,,,,completed,true
javascript454,codellama,CodeLlama,454,0.2988444103,0.2937572785,0.1926076227,0.1310295668,0.1356100071,0.1038309566,,,,,,,,,,,completed,true
javascript454,starchat,StarChat,454,0.4962456409,0.2122380337,0.1595504831,0.1757186292,0.171145768,0.0908453796,,,,,,,,,,,completed,true
javascript454,starcoder,StarCoder,454,0.1703055486,0.01695984287,0.02357810435,0.1158929488,0.09166048652,0.06245955219,,,,,,,,,,,completed,true
javascript454,qwen3vl,Qwen3-VL-8B-Instruct,454,0.5184061304,0.4084762156,0.2829372523,0.1011682117,0.07522890902,0.05553748841,,,,,,,,,,,completed,true
javascript454,llamavl,Llama-3.2-11B-Vision-Instruct,454,0.3157630369,0.02087980656,0.001194836369,0.003861382125,0.001237317583,0,,,,,,,,,,,completed,true
javascript704,codellama,CodeLlama,704,0.2812147746,0.3039378102,0.1998479539,0.132578147,0.1353064466,0.1016851242,,,,,,,,,,,completed,true
javascript704,starchat,StarChat,704,0.4669707755,0.2195934125,0.1655481603,0.1777953696,0.1707626614,0.08896791491,,,,,,,,,,,completed,true
javascript704,starcoder,StarCoder,704,0.1602587661,0.01754760778,0.02446443108,0.1172626361,0.09145530622,0.0611687259,,,,,,,,,,,completed,true
javascript704,qwen3vl,Qwen3-VL-8B-Instruct,704,0.4878239581,0.422632478,0.293573173,0.1023638738,0.07506051051,0.05438971762,,,,,,,,,,,completed,true
javascript704,llamavl,Llama-3.2-11B-Vision-Instruct,704,0.2971353259,0.02160342279,0.001239751575,0.003907018084,0.00123454787,0,,,,,,,,,,,completed,true
