dataset,model_key,model,variant,prompt,n_items,llm_mean,llm_median,llm_consensus_rate,st_mean,st_median,st_success_rate,agreement_rate,both_success_rate,neither_success_rate,source,is_completed,import_method,lock_source,scale_used,eval_file
java250,codellama,CodeLlama,without_comments,zero_shot,250,0.1612,0,0.18,0.3579117405,0.3480949402,0.272,0.676,0.064,0.612,baseline,false,combined_results,baseline,1,evaluation/java250/codellama_Results/combined_results_Data_Without_Comments_Description.json
java250,deepseek_r1,DeepSeek-R1,dead_code,few_shot,250,0.6580814243,0.8,0.6155024876,0.5612349995,0.5799260703,0.688,0.6611733333,0.4731782946,0.18,scaled,true,paper_model_variant_ratio,direct,1.01305638,
java250,deepseek_r1,DeepSeek-R1,dead_code,oap1,250,0.6729239169,0.8,0.6217512438,0.4612104134,0.4788892198,0.456,0.5626133333,0.3379844961,0.3171428571,scaled,true,paper_model_variant_ratio,direct,1.035905045,
java250,deepseek_r1,DeepSeek-R1,dead_code,oap2,250,0.6544189911,0.8,0.6030049751,0.4916626713,0.5030343584,0.516,0.5831466667,0.3616434109,0.3,scaled,true,paper_model_variant_ratio,direct,1.007418398,
java250,deepseek_r1,DeepSeek-R1,dead_code,reasoning,250,0.646901365,0.8,0.6123781095,0.5237337415,0.5357097999,0.58,0.6611733333,0.4258604651,0.3,scaled,true,paper_model_variant_ratio,direct,0.9958456973,
java250,deepseek_r1,DeepSeek-R1,dead_code,zero_shot,250,0.6496,0.8,0.628,0.5371564756,0.5503576398,0.628,0.616,0.436,0.18,direct,false,,direct,1,evaluation/java250/deepseek-r1_Results/combined_results_Dataset_DeadCode_Description.json
java250,deepseek_r1,DeepSeek-R1,encryption,few_shot,250,0.5315480623,0.6,0.4931678832,0.501787805,0.5210022986,0.536,0.5885925926,0.3103225806,0.2761643836,scaled,true,paper_model_variant_ratio,direct,0.9836196564,
java250,deepseek_r1,DeepSeek-R1,encryption,oap1,250,0.5112533759,0.6,0.4892846715,0.386665507,0.3870612436,0.24,0.6014814815,0.1593548387,0.4471232877,scaled,true,paper_model_variant_ratio,direct,0.9460647223,
java250,deepseek_r1,DeepSeek-R1,encryption,oap2,250,0.5438544147,0.6,0.5164671533,0.4703975761,0.476700113,0.436,0.6358518519,0.2935483871,0.3419178082,scaled,true,paper_model_variant_ratio,direct,1.006392329,
java250,deepseek_r1,DeepSeek-R1,encryption,reasoning,250,0.5293890531,0.6,0.520350365,0.4699339471,0.4748830956,0.424,0.5928888889,0.2683870968,0.3243835616,scaled,true,paper_model_variant_ratio,direct,0.9796244507,
java250,deepseek_r1,DeepSeek-R1,encryption,zero_shot,250,0.5404,0.6,0.532,0.4759407726,0.4800551981,0.408,0.58,0.26,0.32,direct,false,,direct,1,evaluation/java250/deepseek-r1_Results/combined_results_Dataset_Encryption_Description.json
java250,deepseek_r1,DeepSeek-R1,renaming,few_shot,250,0.6357085731,0.8,0.6201,0.5563639975,0.5652470291,0.668,0.6588235294,0.46144,0.188,scaled,true,paper_model_variant_ratio,direct,0.9970335212,
java250,deepseek_r1,DeepSeek-R1,renaming,oap1,250,0.6485702759,0.8,0.64872,0.4983896713,0.5295125246,0.576,0.6117647059,0.418592,0.1947142857,scaled,true,paper_model_variant_ratio,direct,1.017205577,
java250,deepseek_r1,DeepSeek-R1,renaming,oap2,250,0.6355194304,0.8,0.6201,0.5275707461,0.5395930111,0.604,0.6274509804,0.421888,0.2148571429,scaled,true,paper_model_variant_ratio,direct,0.9967368733,
java250,deepseek_r1,DeepSeek-R1,renaming,reasoning,250,0.6122548799,0.8,0.58512,0.5191230209,0.5284912586,0.564,0.6,0.375744,0.2618571429,scaled,true,paper_model_variant_ratio,direct,0.9602491842,
java250,deepseek_r1,DeepSeek-R1,renaming,zero_shot,250,0.6376,0.8,0.636,0.5373478935,0.5453945994,0.588,0.6,0.412,0.188,direct,false,,direct,1,evaluation/java250/deepseek-r1_Results/combined_results_Variable_Renaming_Description.json
java250,deepseek_r1,DeepSeek-R1,with_comments,few_shot,250,0.6045680089,0.7368421053,0.5981694737,0.4747123694,0.5137488589,0.308453603,0.6661383656,0.26448,0.1843787879,completed,true,cohort_median_scale,direct,0.9535773012,
java250,deepseek_r1,DeepSeek-R1,with_comments,oap1,250,,,,,,,,,,n/a,false,,direct,,
java250,deepseek_r1,DeepSeek-R1,with_comments,oap2,250,,,,,,,,,,n/a,false,,direct,,
java250,deepseek_r1,DeepSeek-R1,with_comments,reasoning,250,0.6506019108,0.6631578947,0.62,0.5654783333,0.5644990784,0.6286673787,0.6472156839,0.4615609756,0.1780350877,completed,true,cohort_median_scale,direct,1.026185979,
java250,deepseek_r1,DeepSeek-R1,with_comments,zero_shot,250,0.634,0.7,0.62,0.5620514276,0.5769246221,0.664,0.628,0.456,0.172,direct,false,,direct,1,evaluation/java250/deepseek-r1_Results/combined_results_Data_With_Comments_Description.json
java250,deepseek_r1,DeepSeek-R1,without_comments,few_shot,250,0.7070574855,0.6933333333,0.696893617,0.5517061059,0.5628665565,0.56,0.5883589744,0.3476923077,0.1420408163,completed,true,cohort_median_scale,direct,1.081127654,
java250,deepseek_r1,DeepSeek-R1,without_comments,oap1,250,,,,,,,,,,n/a,false,,direct,,
java250,deepseek_r1,DeepSeek-R1,without_comments,oap2,250,,,,,,,,,,n/a,false,,direct,,
java250,deepseek_r1,DeepSeek-R1,without_comments,reasoning,250,0.7622443191,0.56,0.7307234043,0.5614586686,0.5784195731,0.56,0.5942774566,0.4433076923,0.1430204082,completed,true,cohort_median_scale,direct,1.165511191,
java250,deepseek_r1,DeepSeek-R1,without_comments,zero_shot,250,0.654,0.8,0.636,0.5605718958,0.5775996447,0.672,0.596,0.452,0.144,direct,false,,direct,1,evaluation/java250/deepseek-r1_Results/combined_results_Data_Without_Comments_Description.json
java250,deepseek_v31,DeepSeek-V3.1,dead_code,few_shot,250,0.6067483412,0.8,0.6232460733,0.5524836267,0.5619481206,0.656,0.5843478261,0.4312424242,0.1489655172,scaled,true,paper_model_variant_ratio,direct,0.9680094787,
java250,deepseek_v31,DeepSeek-V3.1,dead_code,oap1,250,0.6394251185,0.8,0.6719371728,0.2094252542,0.1839205451,0.04,0.1789565217,0.02593939394,0.2262068966,scaled,true,paper_model_variant_ratio,direct,1.02014218,
java250,deepseek_v31,DeepSeek-V3.1,dead_code,oap2,250,0.6186308057,0.8,0.6492146597,0.5216498816,0.5273200888,0.58,0.5514782609,0.3988181818,0.1544827586,scaled,true,paper_model_variant_ratio,direct,0.9869668246,
java250,deepseek_v31,DeepSeek-V3.1,dead_code,reasoning,250,0.6347835308,0.8,0.652460733,0.5189392012,0.5228794238,0.56,0.544173913,0.3890909091,0.16,scaled,true,paper_model_variant_ratio,direct,1.012736967,
java250,deepseek_v31,DeepSeek-V3.1,dead_code,zero_shot,250,0.6268,0.8,0.62,0.5443091069,0.5626466572,0.648,0.588,0.428,0.16,direct,false,,direct,1,evaluation/java250/deepseek-v3.1_Results/combined_results_Dataset_DeadCode_Description.json
java250,deepseek_v31,DeepSeek-V3.1,encryption,few_shot,250,0.4423927577,0.3333333333,0.392,0.4852366878,0.4855886728,0.456,0.6152866242,0.2313442623,0.3838333333,scaled,true,paper_model_variant_ratio,direct,0.9178272981,
java250,deepseek_v31,DeepSeek-V3.1,encryption,oap1,250,0.4708115135,0.3555555556,0.432,0.4017407991,0.4126927662,0.272,0.6152866242,0.1569836066,0.4573333333,scaled,true,paper_model_variant_ratio,direct,0.9767873723,
java250,deepseek_v31,DeepSeek-V3.1,encryption,oap2,250,0.4667836583,0.4,0.372,0.4855138501,0.4912995136,0.476,0.6152866242,0.2313442623,0.3838333333,scaled,true,paper_model_variant_ratio,direct,0.9684308264,
java250,deepseek_v31,DeepSeek-V3.1,encryption,reasoning,250,0.4540287837,0.3555555556,0.38,0.4515951847,0.453710392,0.408,0.6522038217,0.2189508197,0.4328333333,scaled,true,paper_model_variant_ratio,direct,0.9419684308,
java250,deepseek_v31,DeepSeek-V3.1,encryption,zero_shot,250,0.482,0.4,0.448,0.4539492195,0.4549302012,0.412,0.644,0.252,0.392,direct,false,,direct,1,evaluation/java250/deepseek-v3.1_Results/combined_results_Dataset_Encryption_Description.json
java250,deepseek_v31,DeepSeek-V3.1,renaming,few_shot,250,0.5741495534,0.65,0.5556521739,0.5648490251,0.5881617056,0.692,0.6652129032,0.4451612903,0.2212903226,scaled,true,paper_model_variant_ratio,direct,0.9784416384,
java250,deepseek_v31,DeepSeek-V3.1,renaming,oap1,250,0.5999926086,0.65,0.5957826087,0.4684823172,0.4668247452,0.448,0.5114064516,0.3032258065,0.2465806452,scaled,true,paper_model_variant_ratio,direct,1.022482291,
java250,deepseek_v31,DeepSeek-V3.1,renaming,oap2,250,0.5781254081,0.6283333333,0.5803478261,0.5502130795,0.5583505037,0.668,0.6729032258,0.4516129032,0.2212903226,scaled,true,paper_model_variant_ratio,direct,0.9852171235,
java250,deepseek_v31,DeepSeek-V3.1,renaming,reasoning,250,0.5721616261,0.6066666667,0.561826087,0.517077783,0.5337827817,0.58,0.6344516129,0.3903225806,0.2781935484,scaled,true,paper_model_variant_ratio,direct,0.9750538959,
java250,deepseek_v31,DeepSeek-V3.1,renaming,zero_shot,250,0.5868,0.65,0.568,0.5462252792,0.5625865161,0.636,0.596,0.4,0.196,direct,false,,direct,1,evaluation/java250/deepseek-v3.1_Results/combined_results_Variable_Renaming_Description.json
java250,deepseek_v31,DeepSeek-V3.1,with_comments,few_shot,250,0.652246874,0.8421052632,0.6907892632,0.4777411353,0.5192982892,0.3121699115,0.6915958827,0.3016,0.1415,completed,true,cohort_median_scale,direct,0.9535773012,
java250,deepseek_v31,DeepSeek-V3.1,with_comments,oap1,250,,,,,,,,,,n/a,false,,direct,,
java250,deepseek_v31,DeepSeek-V3.1,with_comments,oap2,250,,,,,,,,,,n/a,false,,direct,,
java250,deepseek_v31,DeepSeek-V3.1,with_comments,reasoning,250,0.7019112097,0.7578947368,0.716,0.5690862054,0.5705967041,0.6362416845,0.6719500412,0.5263414634,0.1366315789,completed,true,cohort_median_scale,direct,1.026185979,
java250,deepseek_v31,DeepSeek-V3.1,with_comments,zero_shot,250,0.684,0.8,0.716,0.5656374353,0.5831564665,0.672,0.652,0.52,0.132,direct,false,,direct,1,evaluation/java250/deepseek-v3.1_Results/combined_results_Data_With_Comments_Description.json
java250,deepseek_v31,DeepSeek-V3.1,without_comments,few_shot,250,0.6971111111,0.6933333333,0.7231914894,0.5667959684,0.5824949201,0.5866666667,0.6199487179,0.3815384615,0.1302040816,completed,true,cohort_median_scale,direct,1.081127654,
java250,deepseek_v31,DeepSeek-V3.1,without_comments,oap1,250,,,,,,,,,,n/a,false,,direct,,
java250,deepseek_v31,DeepSeek-V3.1,without_comments,oap2,250,,,,,,,,,,n/a,false,,direct,,
java250,deepseek_v31,DeepSeek-V3.1,without_comments,reasoning,250,0.7515216162,0.56,0.7582978723,0.5768152762,0.5985903037,0.5866666667,0.6261849711,0.4864615385,0.1311020408,completed,true,cohort_median_scale,direct,1.165511191,
java250,deepseek_v31,DeepSeek-V3.1,without_comments,zero_shot,250,0.6448,0.8,0.66,0.575904249,0.5977417827,0.704,0.628,0.496,0.132,direct,false,,direct,1,evaluation/java250/deepseek-v3.1_Results/combined_results_Data_Without_Comments_Description.json
java250,deepseek_v4_pro,DeepSeek-V4-Pro,dead_code,few_shot,250,0.617841793,0.7,0.6186129032,0,0,0,0.3852804566,0,0.3911363261,completed,true,cohort_median_scale,direct,1.020214321,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,dead_code,oap1,250,0.6058874579,0.7,0.5991290323,0,0,0,0.3836825979,0,0.5267594775,completed,true,cohort_median_scale,direct,1.000474666,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,dead_code,oap2,250,0.5979740692,0.7,0.632460733,0,0,0,0.3911579683,0,0.4351642911,completed,true,cohort_median_scale,direct,0.9874076439,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,dead_code,reasoning,250,0.6081988307,0.7,0.604,0,0,0,0.3920195518,0,0.4006046512,completed,true,cohort_median_scale,direct,1.004291332,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,dead_code,zero_shot,250,0.6056,0.7,0.604,0,0,0,0.396,0,0.396,direct,false,,direct,1,evaluation/java250/DeepseekV4Pro_Results/combined_results_Dataset_DeadCode_Description.json
java250,deepseek_v4_pro,DeepSeek-V4-Pro,encryption,few_shot,250,0.4784326009,0.4,0.4737423313,0,0,0,0.5270740741,0,0.522879858,completed,true,cohort_median_scale,direct,0.9836196564,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,encryption,oap1,250,0.4796310139,0.4,0.4421595092,0,0,0,0.5426410641,0,0.5773583154,completed,true,cohort_median_scale,direct,0.986083499,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,encryption,oap2,250,0.4842681052,0.4,0.4543357664,0,0,0,0.5343436123,0,0.5725096809,completed,true,cohort_median_scale,direct,0.9956169926,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,encryption,reasoning,250,0.4772164531,0.4,0.4577518248,0,0,0,0.5391350139,0,0.5708003352,completed,true,cohort_median_scale,direct,0.9811193527,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,encryption,zero_shot,250,0.4864,0.4,0.468,0,0,0,0.532,0,0.532,direct,false,,direct,1,evaluation/java250/DeepseekV4Pro_Results/combined_results_Dataset_Encryption_Description.json
java250,deepseek_v4_pro,DeepSeek-V4-Pro,renaming,few_shot,250,0.5784191267,0.7,0.5703521739,0,0,0,0.4306034652,0,0.4176842105,completed,true,cohort_median_scale,direct,0.9877375798,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,renaming,oap1,250,0.5956328302,0.7,0.5772459081,0,0,0,0.4209205366,0,0.4779440665,completed,true,cohort_median_scale,direct,1.017132565,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,renaming,oap2,250,0.5910014807,0.7,0.584,0,0,0,0.4168421053,0,0.4496518345,completed,true,cohort_median_scale,direct,1.00922384,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,renaming,reasoning,250,0.5777758121,0.7,0.5555812996,0,0,0,0.4168421053,0,0.4552738817,completed,true,cohort_median_scale,direct,0.9866390234,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,renaming,zero_shot,250,0.5856,0.7,0.584,0,0,0,0.416,0,0.416,direct,false,,direct,1,evaluation/java250/DeepseekV4Pro_Results/combined_results_Variable_Renaming_Description.json
java250,deepseek_v4_pro,DeepSeek-V4-Pro,with_comments,few_shot,250,0.6045680089,0.7894736842,0.6136061053,0,0,0,0.3861056769,0,0.3901969697,completed,true,cohort_median_scale,direct,0.9535773012,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,with_comments,oap1,250,,,,,,,,,,n/a,false,,direct,,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,with_comments,oap2,250,,,,,,,,,,n/a,false,,direct,,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,with_comments,reasoning,250,0.6506019108,0.7105263158,0.636,0,0,0,0.3751377531,0,0.3767719298,completed,true,cohort_median_scale,direct,1.026185979,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,with_comments,zero_shot,250,0.634,0.75,0.636,0,0,0,0.364,0,0.364,direct,false,,direct,1,evaluation/java250/DeepseekV4Pro_Results/combined_results_Data_With_Comments_Description.json
java250,deepseek_v4_pro,DeepSeek-V4-Pro,without_comments,few_shot,250,0.6958137579,0.6933333333,0.696893617,0,0,0,0.3593333333,0,0.359047619,completed,true,cohort_median_scale,direct,1.081127654,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,without_comments,oap1,250,,,,,,,,,,n/a,false,,direct,,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,without_comments,oap2,250,,,,,,,,,,n/a,false,,direct,,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,without_comments,reasoning,250,0.7501230027,0.56,0.7307234043,0,0,0,0.3629479769,0,0.3615238095,completed,true,cohort_median_scale,direct,1.165511191,
java250,deepseek_v4_pro,DeepSeek-V4-Pro,without_comments,zero_shot,250,0.6436,0.8,0.636,0,0,0,0.364,0,0.364,direct,false,,direct,1,evaluation/java250/DeepseekV4Pro_Results/combined_results_Data_Without_Comments_Description.json
java250,glm5,GLM-5,dead_code,few_shot,250,0.6998670244,0.9,0.7210322581,0.5621943764,0.5959209692,0.6769292122,0.61100032,0.5,0.1264279034,completed,true,cohort_median_scale,direct,1.020214321,
java250,glm5,GLM-5,dead_code,oap1,250,0.6863256211,0.9,0.6983225806,0.4172735566,0.427111136,0.2512906743,0.6084663422,0.1538461538,0.1702656897,completed,true,cohort_median_scale,direct,1.000474666,
java250,glm5,GLM-5,dead_code,oap2,250,0.6773616437,0.9,0.7371727749,0.4851334763,0.508596681,0.5387496678,0.6203212224,0.3791666667,0.1406591648,completed,true,cohort_median_scale,direct,0.9874076439,
java250,glm5,GLM-5,dead_code,reasoning,250,0.6889438538,0.9,0.704,0.5266026419,0.5502061796,0.5685657848,0.6216875721,0.4545454545,0.1294883721,completed,true,cohort_median_scale,direct,1.004291332,
java250,glm5,GLM-5,dead_code,zero_shot,250,0.686,0.9,0.704,0.5497654885,0.5744206309,0.668,0.628,0.5,0.128,direct,false,,direct,1,evaluation/java250/GLM5_Results/combined_results_Dataset_DeadCode_Description.json
java250,glm5,GLM-5,encryption,few_shot,250,0.6452544946,0.8,0.6640490798,0.5264145375,0.5512921453,0.588815534,0.645962963,0.3978947368,0.2280227952,completed,true,cohort_median_scale,direct,0.9836196564,
java250,glm5,GLM-5,encryption,oap1,250,0.6468707753,0.8,0.6197791411,0.4228480441,0.4330949357,0.311862069,0.6650413041,0.2616393443,0.251780318,completed,true,cohort_median_scale,direct,0.986083499,
