dataset,model_key,model,problem_id,pair,score,score_source
java250,gpt4o,GPT-4o,p00002,variable_renaming__dead_code,0.778041,st_pairwise
java250,gpt4o,GPT-4o,p00002,variable_renaming__encryption,0.615339,st_pairwise
java250,gpt4o,GPT-4o,p00002,dead_code__encryption,0.633108,st_pairwise
java250,gpt4o,GPT-4o,p00003,original_description__with_comments,0.9,llm_eval
java250,gpt4o,GPT-4o,p00003,original_description__without_comments,0.9,llm_eval
java250,gpt4o,GPT-4o,p00003,original_description__variable_renaming,0.9,llm_eval
java250,gpt4o,GPT-4o,p00003,original_description__dead_code,0.9,llm_eval
java250,gpt4o,GPT-4o,p00003,original_description__encryption,0.175,llm_eval
java250,gpt4o,GPT-4o,p00003,with_comments__without_comments,0.937765,st_pairwise
java250,gpt4o,GPT-4o,p00003,with_comments__variable_renaming,0.894785,st_pairwise
java250,gpt4o,GPT-4o,p00003,with_comments__dead_code,0.91754,st_pairwise
java250,gpt4o,GPT-4o,p00003,with_comments__encryption,0.760572,st_pairwise
java250,gpt4o,GPT-4o,p00003,without_comments__variable_renaming,0.938547,st_pairwise
java250,gpt4o,GPT-4o,p00003,without_comments__dead_code,0.936743,st_pairwise
java250,gpt4o,GPT-4o,p00003,without_comments__encryption,0.741983,st_pairwise
java250,gpt4o,GPT-4o,p00003,variable_renaming__dead_code,0.906588,st_pairwise
java250,gpt4o,GPT-4o,p00003,variable_renaming__encryption,0.764892,st_pairwise
java250,gpt4o,GPT-4o,p00003,dead_code__encryption,0.770137,st_pairwise
java250,gpt4o,GPT-4o,p00005,original_description__with_comments,0.6,llm_eval
java250,gpt4o,GPT-4o,p00005,original_description__without_comments,0.6,llm_eval
java250,gpt4o,GPT-4o,p00005,original_description__variable_renaming,0.6,llm_eval
java250,gpt4o,GPT-4o,p00005,original_description__dead_code,0.6,llm_eval
java250,gpt4o,GPT-4o,p00005,original_description__encryption,0.6,llm_eval
java250,gpt4o,GPT-4o,p00005,with_comments__without_comments,0.962179,st_pairwise
java250,gpt4o,GPT-4o,p00005,with_comments__variable_renaming,0.937587,st_pairwise
java250,gpt4o,GPT-4o,p00005,with_comments__dead_code,0.876688,st_pairwise
java250,gpt4o,GPT-4o,p00005,with_comments__encryption,0.98135,st_pairwise
java250,gpt4o,GPT-4o,p00005,without_comments__variable_renaming,0.942034,st_pairwise
java250,gpt4o,GPT-4o,p00005,without_comments__dead_code,0.870893,st_pairwise
java250,gpt4o,GPT-4o,p00005,without_comments__encryption,0.961351,st_pairwise
java250,gpt4o,GPT-4o,p00005,variable_renaming__dead_code,0.896313,st_pairwise
java250,gpt4o,GPT-4o,p00005,variable_renaming__encryption,0.945494,st_pairwise
java250,gpt4o,GPT-4o,p00005,dead_code__encryption,0.878017,st_pairwise
java250,gpt4o,GPT-4o,p00006,original_description__with_comments,0.9,llm_eval
java250,gpt4o,GPT-4o,p00006,original_description__without_comments,0.9,llm_eval
java250,gpt4o,GPT-4o,p00006,original_description__variable_renaming,0.9,llm_eval
java250,gpt4o,GPT-4o,p00006,original_description__dead_code,0.8,llm_eval
java250,gpt4o,GPT-4o,p00006,original_description__encryption,0.35,llm_eval
java250,gpt4o,GPT-4o,p00006,with_comments__without_comments,0.919032,st_pairwise
java250,gpt4o,GPT-4o,p00006,with_comments__variable_renaming,0.919172,st_pairwise
java250,gpt4o,GPT-4o,p00006,with_comments__dead_code,0.912419,st_pairwise
java250,gpt4o,GPT-4o,p00006,with_comments__encryption,0.801624,st_pairwise
java250,gpt4o,GPT-4o,p00006,without_comments__variable_renaming,0.929406,st_pairwise
java250,gpt4o,GPT-4o,p00006,without_comments__dead_code,0.894884,st_pairwise
java250,gpt4o,GPT-4o,p00006,without_comments__encryption,0.83093,st_pairwise
java250,gpt4o,GPT-4o,p00006,variable_renaming__dead_code,0.931689,st_pairwise
java250,gpt4o,GPT-4o,p00006,variable_renaming__encryption,0.854522,st_pairwise
java250,gpt4o,GPT-4o,p00006,dead_code__encryption,0.83202,st_pairwise
java250,gpt4o,GPT-4o,p00007,original_description__with_comments,0.3,llm_eval
java250,gpt4o,GPT-4o,p00007,original_description__without_comments,0.275,llm_eval
java250,gpt4o,GPT-4o,p00007,original_description__variable_renaming,0.6,llm_eval
java250,gpt4o,GPT-4o,p00007,original_description__dead_code,0.2,llm_eval
java250,gpt4o,GPT-4o,p00007,original_description__encryption,0.5,llm_eval
java250,gpt4o,GPT-4o,p00007,with_comments__without_comments,0.804706,st_pairwise
java250,gpt4o,GPT-4o,p00007,with_comments__variable_renaming,0.943757,st_pairwise
java250,gpt4o,GPT-4o,p00007,with_comments__dead_code,0.841223,st_pairwise
java250,gpt4o,GPT-4o,p00007,with_comments__encryption,0.901588,st_pairwise
java250,gpt4o,GPT-4o,p00007,without_comments__variable_renaming,0.816318,st_pairwise
java250,gpt4o,GPT-4o,p00007,without_comments__dead_code,0.862086,st_pairwise
java250,gpt4o,GPT-4o,p00007,without_comments__encryption,0.82554,st_pairwise
java250,gpt4o,GPT-4o,p00007,variable_renaming__dead_code,0.870838,st_pairwise
java250,gpt4o,GPT-4o,p00007,variable_renaming__encryption,0.937136,st_pairwise
java250,gpt4o,GPT-4o,p00007,dead_code__encryption,0.862547,st_pairwise
java250,gpt4o,GPT-4o,p00011,original_description__with_comments,0.2,llm_eval
java250,gpt4o,GPT-4o,p00011,original_description__without_comments,0.3,llm_eval
java250,gpt4o,GPT-4o,p00011,original_description__variable_renaming,0.6,llm_eval
java250,gpt4o,GPT-4o,p00011,original_description__dead_code,0.2,llm_eval
java250,gpt4o,GPT-4o,p00011,original_description__encryption,0.0,llm_eval
java250,gpt4o,GPT-4o,p00011,with_comments__without_comments,0.856585,st_pairwise
java250,gpt4o,GPT-4o,p00011,with_comments__variable_renaming,0.52117,st_pairwise
java250,gpt4o,GPT-4o,p00011,with_comments__dead_code,0.903054,st_pairwise
java250,gpt4o,GPT-4o,p00011,with_comments__encryption,0.473287,st_pairwise
java250,gpt4o,GPT-4o,p00011,without_comments__variable_renaming,0.565083,st_pairwise
java250,gpt4o,GPT-4o,p00011,without_comments__dead_code,0.813916,st_pairwise
java250,gpt4o,GPT-4o,p00011,without_comments__encryption,0.494805,st_pairwise
java250,gpt4o,GPT-4o,p00011,variable_renaming__dead_code,0.512674,st_pairwise
java250,gpt4o,GPT-4o,p00011,variable_renaming__encryption,0.585884,st_pairwise
java250,gpt4o,GPT-4o,p00011,dead_code__encryption,0.452498,st_pairwise
java250,gpt4o,GPT-4o,p02255,original_description__with_comments,0.9,llm_eval
java250,gpt4o,GPT-4o,p02255,original_description__without_comments,0.9,llm_eval
java250,gpt4o,GPT-4o,p02255,original_description__variable_renaming,0.9,llm_eval
java250,gpt4o,GPT-4o,p02255,original_description__dead_code,0.9,llm_eval
java250,gpt4o,GPT-4o,p02255,original_description__encryption,0.55,llm_eval
java250,gpt4o,GPT-4o,p02255,with_comments__without_comments,0.919153,st_pairwise
java250,gpt4o,GPT-4o,p02255,with_comments__variable_renaming,0.914304,st_pairwise
java250,gpt4o,GPT-4o,p02255,with_comments__dead_code,0.907695,st_pairwise
java250,gpt4o,GPT-4o,p02255,with_comments__encryption,0.820193,st_pairwise
java250,gpt4o,GPT-4o,p02255,without_comments__variable_renaming,0.948402,st_pairwise
java250,gpt4o,GPT-4o,p02255,without_comments__dead_code,0.924497,st_pairwise
java250,gpt4o,GPT-4o,p02255,without_comments__encryption,0.866332,st_pairwise
java250,gpt4o,GPT-4o,p02255,variable_renaming__dead_code,0.909135,st_pairwise
java250,gpt4o,GPT-4o,p02255,variable_renaming__encryption,0.843502,st_pairwise
java250,gpt4o,GPT-4o,p02255,dead_code__encryption,0.774431,st_pairwise
java250,gpt4o,GPT-4o,p02256,original_description__with_comments,0.9,llm_eval
java250,gpt4o,GPT-4o,p02256,original_description__without_comments,0.4,llm_eval
java250,gpt4o,GPT-4o,p02256,original_description__variable_renaming,0.325,llm_eval
java250,gpt4o,GPT-4o,p02256,original_description__dead_code,0.3,llm_eval
java250,gpt4o,GPT-4o,p02256,original_description__encryption,0.275,llm_eval
java250,gpt4o,GPT-4o,p02256,with_comments__without_comments,0.967182,st_pairwise
java250,gpt4o,GPT-4o,p02256,with_comments__variable_renaming,0.946019,st_pairwise
java250,gpt4o,GPT-4o,p02256,with_comments__dead_code,0.957176,st_pairwise
java250,gpt4o,GPT-4o,p02256,with_comments__encryption,0.904678,st_pairwise
java250,gpt4o,GPT-4o,p02256,without_comments__variable_renaming,0.95428,st_pairwise
java250,gpt4o,GPT-4o,p02256,without_comments__dead_code,0.960506,st_pairwise
java250,gpt4o,GPT-4o,p02256,without_comments__encryption,0.926708,st_pairwise
java250,gpt4o,GPT-4o,p02256,variable_renaming__dead_code,0.952723,st_pairwise
java250,gpt4o,GPT-4o,p02256,variable_renaming__encryption,0.901694,st_pairwise
java250,gpt4o,GPT-4o,p02256,dead_code__encryption,0.916762,st_pairwise
java250,gpt4o,GPT-4o,p02257,original_description__with_comments,0.6,llm_eval
java250,gpt4o,GPT-4o,p02257,original_description__without_comments,0.325,llm_eval
java250,gpt4o,GPT-4o,p02257,original_description__variable_renaming,0.6,llm_eval
java250,gpt4o,GPT-4o,p02257,original_description__dead_code,0.3,llm_eval
java250,gpt4o,GPT-4o,p02257,original_description__encryption,0.2,llm_eval
java250,gpt4o,GPT-4o,p02257,with_comments__without_comments,0.947039,st_pairwise
java250,gpt4o,GPT-4o,p02257,with_comments__variable_renaming,0.919888,st_pairwise
java250,gpt4o,GPT-4o,p02257,with_comments__dead_code,0.896302,st_pairwise
java250,gpt4o,GPT-4o,p02257,with_comments__encryption,0.952095,st_pairwise
java250,gpt4o,GPT-4o,p02257,without_comments__variable_renaming,0.912181,st_pairwise
java250,gpt4o,GPT-4o,p02257,without_comments__dead_code,0.911676,st_pairwise
java250,gpt4o,GPT-4o,p02257,without_comments__encryption,0.931547,st_pairwise
java250,gpt4o,GPT-4o,p02257,variable_renaming__dead_code,0.891665,st_pairwise
java250,gpt4o,GPT-4o,p02257,variable_renaming__encryption,0.913945,st_pairwise
java250,gpt4o,GPT-4o,p02257,dead_code__encryption,0.901661,st_pairwise
java250,gpt4o,GPT-4o,p02258,original_description__with_comments,0.9,llm_eval
java250,gpt4o,GPT-4o,p02258,original_description__without_comments,0.9,llm_eval
java250,gpt4o,GPT-4o,p02258,original_description__variable_renaming,0.6,llm_eval
java250,gpt4o,GPT-4o,p02258,original_description__dead_code,0.875,llm_eval
java250,gpt4o,GPT-4o,p02258,original_description__encryption,0.65,llm_eval
java250,gpt4o,GPT-4o,p02258,with_comments__without_comments,0.961385,st_pairwise
java250,gpt4o,GPT-4o,p02258,with_comments__variable_renaming,0.950656,st_pairwise
java250,gpt4o,GPT-4o,p02258,with_comments__dead_code,0.94593,st_pairwise
java250,gpt4o,GPT-4o,p02258,with_comments__encryption,0.927934,st_pairwise
java250,gpt4o,GPT-4o,p02258,without_comments__variable_renaming,0.954347,st_pairwise
java250,gpt4o,GPT-4o,p02258,without_comments__dead_code,0.95696,st_pairwise
java250,gpt4o,GPT-4o,p02258,without_comments__encryption,0.91916,st_pairwise
java250,gpt4o,GPT-4o,p02258,variable_renaming__dead_code,0.951893,st_pairwise
java250,gpt4o,GPT-4o,p02258,variable_renaming__encryption,0.930952,st_pairwise
java250,gpt4o,GPT-4o,p02258,dead_code__encryption,0.93506,st_pairwise
java250,gpt4o,GPT-4o,p02259,original_description__with_comments,0.6,llm_eval
java250,gpt4o,GPT-4o,p02259,original_description__without_comments,0.6,llm_eval
java250,gpt4o,GPT-4o,p02259,original_description__variable_renaming,0.2,llm_eval
java250,gpt4o,GPT-4o,p02259,original_description__dead_code,0.5,llm_eval
java250,gpt4o,GPT-4o,p02259,original_description__encryption,0.6,llm_eval
java250,gpt4o,GPT-4o,p02259,with_comments__without_comments,0.948273,st_pairwise
java250,gpt4o,GPT-4o,p02259,with_comments__variable_renaming,0.878647,st_pairwise
java250,gpt4o,GPT-4o,p02259,with_comments__dead_code,0.905163,st_pairwise
java250,gpt4o,GPT-4o,p02259,with_comments__encryption,0.910638,st_pairwise
java250,gpt4o,GPT-4o,p02259,without_comments__variable_renaming,0.894276,st_pairwise
java250,gpt4o,GPT-4o,p02259,without_comments__dead_code,0.916098,st_pairwise
java250,gpt4o,GPT-4o,p02259,without_comments__encryption,0.915985,st_pairwise
java250,gpt4o,GPT-4o,p02259,variable_renaming__dead_code,0.90095,st_pairwise
java250,gpt4o,GPT-4o,p02259,variable_renaming__encryption,0.923681,st_pairwise
java250,gpt4o,GPT-4o,p02259,dead_code__encryption,0.97472,st_pairwise
java250,gpt4o,GPT-4o,p02260,original_description__with_comments,0.9,llm_eval
java250,gpt4o,GPT-4o,p02260,original_description__without_comments,0.9,llm_eval
java250,gpt4o,GPT-4o,p02260,original_description__variable_renaming,0.9,llm_eval
java250,gpt4o,GPT-4o,p02260,original_description__dead_code,0.9,llm_eval
java250,gpt4o,GPT-4o,p02260,original_description__encryption,0.9,llm_eval
java250,gpt4o,GPT-4o,p02260,with_comments__without_comments,0.93923,st_pairwise
java250,gpt4o,GPT-4o,p02260,with_comments__variable_renaming,0.867546,st_pairwise
java250,gpt4o,GPT-4o,p02260,with_comments__dead_code,0.944405,st_pairwise
java250,gpt4o,GPT-4o,p02260,with_comments__encryption,0.876804,st_pairwise
java250,gpt4o,GPT-4o,p02260,without_comments__variable_renaming,0.898726,st_pairwise
java250,gpt4o,GPT-4o,p02260,without_comments__dead_code,0.970346,st_pairwise
java250,gpt4o,GPT-4o,p02260,without_comments__encryption,0.87315,st_pairwise
java250,gpt4o,GPT-4o,p02260,variable_renaming__dead_code,0.882138,st_pairwise
java250,gpt4o,GPT-4o,p02260,variable_renaming__encryption,0.844887,st_pairwise
java250,gpt4o,GPT-4o,p02260,dead_code__encryption,0.871306,st_pairwise
java250,gpt4o,GPT-4o,p02263,original_description__with_comments,0.9,llm_eval
java250,gpt4o,GPT-4o,p02263,original_description__without_comments,0.9,llm_eval
java250,gpt4o,GPT-4o,p02263,original_description__variable_renaming,0.9,llm_eval
java250,gpt4o,GPT-4o,p02263,original_description__dead_code,0.9,llm_eval
java250,gpt4o,GPT-4o,p02263,original_description__encryption,0.6,llm_eval
java250,gpt4o,GPT-4o,p02263,with_comments__without_comments,0.961232,st_pairwise
java250,gpt4o,GPT-4o,p02263,with_comments__variable_renaming,0.904514,st_pairwise
java250,gpt4o,GPT-4o,p02263,with_comments__dead_code,0.970051,st_pairwise
java250,gpt4o,GPT-4o,p02263,with_comments__encryption,0.751358,st_pairwise
java250,gpt4o,GPT-4o,p02263,without_comments__variable_renaming,0.887409,st_pairwise
java250,gpt4o,GPT-4o,p02263,without_comments__dead_code,0.975855,st_pairwise
java250,gpt4o,GPT-4o,p02263,without_comments__encryption,0.777217,st_pairwise
java250,gpt4o,GPT-4o,p02263,variable_renaming__dead_code,0.895814,st_pairwise
java250,gpt4o,GPT-4o,p02263,variable_renaming__encryption,0.898976,st_pairwise
java250,gpt4o,GPT-4o,p02263,dead_code__encryption,0.760714,st_pairwise
java250,gpt4o,GPT-4o,p02264,original_description__with_comments,0.8,llm_eval
java250,gpt4o,GPT-4o,p02264,original_description__without_comments,0.6,llm_eval
java250,gpt4o,GPT-4o,p02264,original_description__variable_renaming,0.6,llm_eval
java250,gpt4o,GPT-4o,p02264,original_description__dead_code,0.6,llm_eval
java250,gpt4o,GPT-4o,p02264,original_description__encryption,0.9,llm_eval
java250,gpt4o,GPT-4o,p02264,with_comments__without_comments,0.959941,st_pairwise
java250,gpt4o,GPT-4o,p02264,with_comments__variable_renaming,0.862135,st_pairwise
java250,gpt4o,GPT-4o,p02264,with_comments__dead_code,0.912742,st_pairwise
java250,gpt4o,GPT-4o,p02264,with_comments__encryption,0.952937,st_pairwise
java250,gpt4o,GPT-4o,p02264,without_comments__variable_renaming,0.895638,st_pairwise
java250,gpt4o,GPT-4o,p02264,without_comments__dead_code,0.938082,st_pairwise
java250,gpt4o,GPT-4o,p02264,without_comments__encryption,0.959175,st_pairwise
java250,gpt4o,GPT-4o,p02264,variable_renaming__dead_code,0.910584,st_pairwise
java250,gpt4o,GPT-4o,p02264,variable_renaming__encryption,0.866754,st_pairwise
java250,gpt4o,GPT-4o,p02264,dead_code__encryption,0.901921,st_pairwise
java250,gpt4o,GPT-4o,p02268,original_description__with_comments,0.6,llm_eval
java250,gpt4o,GPT-4o,p02268,original_description__without_comments,0.6,llm_eval
java250,gpt4o,GPT-4o,p02268,original_description__variable_renaming,0.3,llm_eval
java250,gpt4o,GPT-4o,p02268,original_description__dead_code,0.3,llm_eval
java250,gpt4o,GPT-4o,p02268,original_description__encryption,0.3,llm_eval
java250,gpt4o,GPT-4o,p02268,with_comments__without_comments,0.850201,st_pairwise
java250,gpt4o,GPT-4o,p02268,with_comments__variable_renaming,0.850548,st_pairwise
java250,gpt4o,GPT-4o,p02268,with_comments__dead_code,0.893934,st_pairwise
java250,gpt4o,GPT-4o,p02268,with_comments__encryption,0.795365,st_pairwise
java250,gpt4o,GPT-4o,p02268,without_comments__variable_renaming,0.795856,st_pairwise
java250,gpt4o,GPT-4o,p02268,without_comments__dead_code,0.777246,st_pairwise
java250,gpt4o,GPT-4o,p02268,without_comments__encryption,0.805696,st_pairwise
java250,gpt4o,GPT-4o,p02268,variable_renaming__dead_code,0.799158,st_pairwise
java250,gpt4o,GPT-4o,p02268,variable_renaming__encryption,0.783275,st_pairwise
java250,gpt4o,GPT-4o,p02268,dead_code__encryption,0.805561,st_pairwise
java250,gpt4o,GPT-4o,p02381,original_description__with_comments,0.8,llm_eval
java250,gpt4o,GPT-4o,p02381,original_description__without_comments,0.6,llm_eval
java250,gpt4o,GPT-4o,p02381,original_description__variable_renaming,0.6,llm_eval
java250,gpt4o,GPT-4o,p02381,original_description__dead_code,0.6,llm_eval
java250,gpt4o,GPT-4o,p02381,original_description__encryption,0.2,llm_eval
java250,gpt4o,GPT-4o,p02381,with_comments__without_comments,0.947751,st_pairwise
java250,gpt4o,GPT-4o,p02381,with_comments__variable_renaming,0.851613,st_pairwise
java250,gpt4o,GPT-4o,p02381,with_comments__dead_code,0.951627,st_pairwise
java250,gpt4o,GPT-4o,p02381,with_comments__encryption,0.875818,st_pairwise
java250,gpt4o,GPT-4o,p02381,without_comments__variable_renaming,0.837427,st_pairwise
java250,gpt4o,GPT-4o,p02381,without_comments__dead_code,0.968137,st_pairwise
java250,gpt4o,GPT-4o,p02381,without_comments__encryption,0.856913,st_pairwise
java250,gpt4o,GPT-4o,p02381,variable_renaming__dead_code,0.808477,st_pairwise
java250,gpt4o,GPT-4o,p02381,variable_renaming__encryption,0.775406,st_pairwise
java250,gpt4o,GPT-4o,p02381,dead_code__encryption,0.868095,st_pairwise
java250,gpt4o,GPT-4o,p02388,original_description__with_comments,0.9,llm_eval
java250,gpt4o,GPT-4o,p02388,original_description__without_comments,0.6,llm_eval
java250,gpt4o,GPT-4o,p02388,original_description__variable_renaming,0.9,llm_eval
java250,gpt4o,GPT-4o,p02388,original_description__dead_code,0.6,llm_eval
java250,gpt4o,GPT-4o,p02388,original_description__encryption,0.6,llm_eval
java250,gpt4o,GPT-4o,p02388,with_comments__without_comments,0.929828,st_pairwise
java250,gpt4o,GPT-4o,p02388,with_comments__variable_renaming,0.940644,st_pairwise
java250,gpt4o,GPT-4o,p02388,with_comments__dead_code,0.952538,st_pairwise
java250,gpt4o,GPT-4o,p02388,with_comments__encryption,0.875101,st_pairwise
java250,gpt4o,GPT-4o,p02388,without_comments__variable_renaming,0.880705,st_pairwise
java250,gpt4o,GPT-4o,p02388,without_comments__dead_code,0.927318,st_pairwise
java250,gpt4o,GPT-4o,p02388,without_comments__encryption,0.850849,st_pairwise
java250,gpt4o,GPT-4o,p02388,variable_renaming__dead_code,0.930071,st_pairwise
java250,gpt4o,GPT-4o,p02388,variable_renaming__encryption,0.818271,st_pairwise
java250,gpt4o,GPT-4o,p02388,dead_code__encryption,0.870811,st_pairwise
java250,gpt4o,GPT-4o,p02389,original_description__with_comments,0.175,llm_eval
java250,gpt4o,GPT-4o,p02389,original_description__without_comments,0.3,llm_eval
java250,gpt4o,GPT-4o,p02389,original_description__variable_renaming,0.75,llm_eval
java250,gpt4o,GPT-4o,p02389,original_description__dead_code,0.3,llm_eval
java250,gpt4o,GPT-4o,p02389,original_description__encryption,0.0,llm_eval
java250,gpt4o,GPT-4o,p02389,with_comments__without_comments,0.919162,st_pairwise
java250,gpt4o,GPT-4o,p02389,with_comments__variable_renaming,0.7331,st_pairwise
java250,gpt4o,GPT-4o,p02389,with_comments__dead_code,0.939917,st_pairwise
java250,gpt4o,GPT-4o,p02389,with_comments__encryption,0.677678,st_pairwise
java250,gpt4o,GPT-4o,p02389,without_comments__variable_renaming,0.721821,st_pairwise
java250,gpt4o,GPT-4o,p02389,without_comments__dead_code,0.906937,st_pairwise
java250,gpt4o,GPT-4o,p02389,without_comments__encryption,0.608609,st_pairwise
java250,gpt4o,GPT-4o,p02389,variable_renaming__dead_code,0.70419,st_pairwise
java250,gpt4o,GPT-4o,p02389,variable_renaming__encryption,0.51903,st_pairwise
java250,gpt4o,GPT-4o,p02389,dead_code__encryption,0.656565,st_pairwise
java250,gpt4o,GPT-4o,p02390,original_description__with_comments,0.2,llm_eval
java250,gpt4o,GPT-4o,p02390,original_description__without_comments,0.2,llm_eval
java250,gpt4o,GPT-4o,p02390,original_description__variable_renaming,0.2,llm_eval
java250,gpt4o,GPT-4o,p02390,original_description__dead_code,0.2,llm_eval
java250,gpt4o,GPT-4o,p02390,original_description__encryption,0.2,llm_eval
java250,gpt4o,GPT-4o,p02390,with_comments__without_comments,0.955385,st_pairwise
java250,gpt4o,GPT-4o,p02390,with_comments__variable_renaming,0.938311,st_pairwise
java250,gpt4o,GPT-4o,p02390,with_comments__dead_code,0.876156,st_pairwise
java250,gpt4o,GPT-4o,p02390,with_comments__encryption,0.84898,st_pairwise
java250,gpt4o,GPT-4o,p02390,without_comments__variable_renaming,0.94731,st_pairwise
java250,gpt4o,GPT-4o,p02390,without_comments__dead_code,0.883389,st_pairwise
java250,gpt4o,GPT-4o,p02390,without_comments__encryption,0.838539,st_pairwise
java250,gpt4o,GPT-4o,p02390,variable_renaming__dead_code,0.878618,st_pairwise
java250,gpt4o,GPT-4o,p02390,variable_renaming__encryption,0.863407,st_pairwise
java250,gpt4o,GPT-4o,p02390,dead_code__encryption,0.882781,st_pairwise
java250,gpt4o,GPT-4o,p02391,original_description__with_comments,0.9,llm_eval
java250,gpt4o,GPT-4o,p02391,original_description__without_comments,0.6,llm_eval
java250,gpt4o,GPT-4o,p02391,original_description__variable_renaming,0.9,llm_eval
java250,gpt4o,GPT-4o,p02391,original_description__dead_code,0.6,llm_eval
java250,gpt4o,GPT-4o,p02391,original_description__encryption,0.2,llm_eval
java250,gpt4o,GPT-4o,p02391,with_comments__without_comments,0.894536,st_pairwise
java250,gpt4o,GPT-4o,p02391,with_comments__variable_renaming,0.875353,st_pairwise
java250,gpt4o,GPT-4o,p02391,with_comments__dead_code,0.87814,st_pairwise
java250,gpt4o,GPT-4o,p02391,with_comments__encryption,0.685668,st_pairwise
java250,gpt4o,GPT-4o,p02391,without_comments__variable_renaming,0.904337,st_pairwise
java250,gpt4o,GPT-4o,p02391,without_comments__dead_code,0.911088,st_pairwise
java250,gpt4o,GPT-4o,p02391,without_comments__encryption,0.622714,st_pairwise
java250,gpt4o,GPT-4o,p02391,variable_renaming__dead_code,0.878358,st_pairwise
java250,gpt4o,GPT-4o,p02391,variable_renaming__encryption,0.654204,st_pairwise
java250,gpt4o,GPT-4o,p02391,dead_code__encryption,0.650784,st_pairwise
java250,gpt4o,GPT-4o,p02392,original_description__with_comments,0.9,llm_eval
java250,gpt4o,GPT-4o,p02392,original_description__without_comments,0.9,llm_eval
java250,gpt4o,GPT-4o,p02392,original_description__variable_renaming,0.9,llm_eval
java250,gpt4o,GPT-4o,p02392,original_description__dead_code,0.9,llm_eval
java250,gpt4o,GPT-4o,p02392,original_description__encryption,0.1,llm_eval
java250,gpt4o,GPT-4o,p02392,with_comments__without_comments,0.957132,st_pairwise
java250,gpt4o,GPT-4o,p02392,with_comments__variable_renaming,0.916849,st_pairwise
java250,gpt4o,GPT-4o,p02392,with_comments__dead_code,0.908045,st_pairwise
java250,gpt4o,GPT-4o,p02392,with_comments__encryption,0.625874,st_pairwise
java250,gpt4o,GPT-4o,p02392,without_comments__variable_renaming,0.892393,st_pairwise
java250,gpt4o,GPT-4o,p02392,without_comments__dead_code,0.909933,st_pairwise
java250,gpt4o,GPT-4o,p02392,without_comments__encryption,0.637767,st_pairwise
java250,gpt4o,GPT-4o,p02392,variable_renaming__dead_code,0.910868,st_pairwise
java250,gpt4o,GPT-4o,p02392,variable_renaming__encryption,0.657078,st_pairwise
java250,gpt4o,GPT-4o,p02392,dead_code__encryption,0.681653,st_pairwise
java250,gpt4o,GPT-4o,p02393,original_description__with_comments,0.9,llm_eval
java250,gpt4o,GPT-4o,p02393,original_description__without_comments,0.9,llm_eval
java250,gpt4o,GPT-4o,p02393,original_description__variable_renaming,0.9,llm_eval
java250,gpt4o,GPT-4o,p02393,original_description__dead_code,0.9,llm_eval
java250,gpt4o,GPT-4o,p02393,original_description__encryption,0.65,llm_eval
java250,gpt4o,GPT-4o,p02393,with_comments__without_comments,0.848038,st_pairwise
java250,gpt4o,GPT-4o,p02393,with_comments__variable_renaming,0.884477,st_pairwise
