pair_id,dataset,model,problem_id,cascade_category,annotator_A_failure_type,annotator_B_failure_type,agree,expert_consensus_failure_type,llm_predicted_failure_type,llm_expert_agreement,annotator_A_reason,annotator_B_reason
java250|java250|gpt4o|p02570|Semantic_Frontier,java250,gpt4o,p02570,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,The description incorporates dead or dummy obfuscation code (cryptographic functions using Blowfish and DES) as meaningful functional components of the program.,
java250|java250|gpt4o|p02577|Semantic_Frontier,java250,gpt4o,p02577,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,"The description gets distracted by the obfuscation boilerplate and string-decryption mechanics (such as DES encryption, static blocks, and bitwise operations) rather than recognizing the core high-level logic of checking if the sum of digits is divisible by 9.",
java250|java250|gpt5|p00002|Semantic_Frontier,java250,gpt5,p00002,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Hallucination,no,The model got tricked by the obfuscation layer (decryption routines and hidden strings) and described the program as an obfuscated string decoder/message printer rather than recognizing its actual functional purpose of outputting the digit count of the sum of two integers.,
java250|java250|gpt5|p03474|Semantic_Frontier,java250,gpt5,p03474,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,"The model gets trapped in describing the low-level obfuscation machinery (Blowfish decryption, MD5 key derivation, XOR decoding) rather than identifying the program's true high-level functionality.",
java250|java250|kimi_k25|p03000|Semantic_Frontier,java250,kimi_k25,p03000,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,"The model was misled by obfuscation artifacts into fabricating false behaviors, such as claiming the code uses an unused DES decryption routine and incorrect array/sum initializations that make the program behave incorrectly.",
java250|java250|mistral|p02400|Semantic_Frontier,java250,mistral,p02400,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,"The model mistook obfuscation artifacts (such as internal string deobfuscation and encryption routines) for core program logic, incorrectly describing the program as intentionally encrypting the circle calculation results before outputting them.",
java250|java250|o4mini|p02399|Semantic_Frontier,java250,o4mini,p02399,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,Description 2 focuses heavily on the mechanics of the obfuscation (hiding format strings and space delimiters via DES/MD5) and integrates them into the main goal rather than describing purely the underlying high-level functionality.,"The failed summary incorporates the internal mechanics of the obfuscation (specifically mentioning DES/MD5 obfuscation, decrypted format strings, and hidden space delimiters) directly into the high-level main goal instead of focusing purely on the program's intent and functional behavior."
java250|java250|o4mini|p02629|Semantic_Frontier,java250,o4mini,p02629,Semantic_Frontier,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"DESCRIPTION 2 correctly describes the exact same functionality, algorithm, and length-then-lexicographic mapping as DESCRIPTION 1, accurately",
java250|java250|o4mini|p02771|Semantic_Frontier,java250,o4mini,p02771,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Hallucination,no,"The model focuses on explaining the mechanics of the obfuscation layers (Base64 decoding, XOR, DES decryption, MD5 key derivation) rather than abstracting them away to describe the true underlying functional purpose of the program.","The model becomes preoccupied with describing the obfuscation mechanisms, encryption routines (DES, XOR, MD5), and helper functions rather than clearly detailing the high-level functional logic of the program."
java250|java250|o4mini|p03455|Semantic_Frontier,java250,o4mini,p03455,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,"The description gets trapped by the obfuscation layer, framing the program around its crypto/decryption artifacts and ""secret messages"" rather than de-obfuscating the core functionality down to its actual high-level semantics.",
java656|java906|claude_sonnet_5|mbpp_0315|Semantic_Frontier,java656,claude_sonnet_5,mbpp_0315,Semantic_Frontier,Algorithm Misunderstanding,Algorithm Misunderstanding,yes,Algorithm Misunderstanding,Algorithm Misunderstanding,yes,"The model fundamentally misinterprets the core logic, claiming the algorithm tracks consecutive runs of space characters instead of counting the length of words delimited by spaces.",
java656|java906|claude_sonnet_5|mbpp_0787|Semantic_Frontier,java656,claude_sonnet_5,mbpp_0787,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,"The model focuses heavily on describing the obfuscation mechanisms, string encryption algorithms, and anti-analysis narrative rather than identifying and explaining the actual underlying functionality of the program.",
java656|java906|claude_sonnet_5|mbpp_0930|Semantic_Frontier,java656,claude_sonnet_5,mbpp_0930,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Hallucination,no,"The model misidentified simple code with obfuscated variable names as a complex string deobfuscator, hallucinating non-existent cryptographic logic such as Blowfish decryption, MD5 hashing, and XOR ciphers.","The failed description focuses primarily on explaining the obfuscation techniques, string-decoding routines, and reverse-engineering narrative rather than identifying and explaining the core application logic (the regular expression pattern matching)."
java656|java906|deepseek_r1|mbpp_0331|Semantic_Frontier,java656,deepseek_r1,mbpp_0331,Semantic_Frontier,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"DESCRIPTION 2 accurately identifies the core algorithm (counting unset bits up to the highest set bit) and correctly explains the loop mechanism, making it functionally equivalent to DESCRIPTION 1.",
java656|java906|deepseek_r1|mbpp_0471|Semantic_Frontier,java656,deepseek_r1,mbpp_0471,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,"The model gets distracted by and explicitly details the code's obfuscation, decompilation artifacts, and non-compilability rather than providing a clean functional summary.","The description focuses significantly on describing obfuscation artifacts, invalid syntax, and decompilation issues rather than purely explaining the core functionality of the code."
java656|java906|deepseek_r1|mbpp_0643|Semantic_Frontier,java656,deepseek_r1,mbpp_0643,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,"The model fixates on describing the obfuscation and decryption mechanisms (Blowfish, XOR, DES, secret responses) rather than de-","The description focuses extensively on the obfuscation and decryption mechanisms (Blowfish, XOR, DES) rather than explaining the actual program logic and specific regular expression matching behavior."
java656|java906|deepseek_v31|mbpp_0956|Semantic_Frontier,java656,deepseek_v31,mbpp_0956,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,"The description focuses on explaining the obfuscation mechanics (runtime Blowfish decryption, Base64 encoding, cipher key) rather than describing the actual underlying functionality of what the decrypted pattern and code achieve.",
java656|java906|gemini|mbpp_0719|Semantic_Frontier,java656,gemini,mbpp_0719,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,"The model mistook obfuscation artifacts for complex cryptographic routines (XOR, Blowfish, DES) and framed its description around anti-reverse-engineering mechanisms rather than explaining the actual regular expression matching logic.",
java656|java906|gpt35|mbpp_0198|Semantic_Frontier,java656,gpt35,mbpp_0198,Semantic_Frontier,Functional Inaccuracy,Functional Inaccuracy,yes,Functional Inaccuracy,Functional Inaccuracy,yes,"Description 2 introduces inaccurate details about the function's behavior and parameters, specifically claiming the triangle must be ""equilateral"" and misident","The failed description incorrectly specifies that the method calculates the area of an ""equilateral"" triangle and conflates semi-axes with full major/minor axes"
java656|java906|gpt35|mbpp_0735|Semantic_Frontier,java656,gpt35,mbpp_0735,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,The model gets distracted by the obfuscation mechanics (the static block and array `l`) and describes the code in terms of these artifacts rather than,
java656|java906|gpt4o|mbpp_0640|Semantic_Frontier,java656,gpt4o,mbpp_0640,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,"The model was distracted by obfuscation artifacts, such as string decryption routines and static initialization blocks, incorporating the obfuscation mechanics into its summary instead of focusing solely on the underlying program functionality.",
java656|java906|gpt4o|mbpp_0866|Semantic_Frontier,java656,gpt4o,mbpp_0866,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,The model misinterprets the string-decryption boilerplate introduced by code obfuscation as the primary cryptographic purpose of the program rather than recognizing its underlying functionality.,
java656|java906|gpt4o|mbpp_0967|Semantic_Frontier,java656,gpt4o,mbpp_0967,Semantic_Frontier,Functional Inaccuracy,Functional Inaccuracy,yes,Functional Inaccuracy,Functional Inaccuracy,yes,DESCRIPTION 2 incorrectly states the code checks for at least,
java656|java906|gpt5|mbpp_0419|Semantic_Frontier,java656,gpt5,mbpp_0419,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,The model fixated on decompiler artifacts and erroneously claimed the code was uncompilable and invalid rather than correctly identifying the underlying functional logic.,The failed description focuses heavily on decompiler artifacts and uncompilable syntax constructs rather than extracting and describing the underlying functional algorithm.
java656|java906|gpt5|mbpp_0503|Semantic_Frontier,java656,gpt5,mbpp_0503,Semantic_Frontier,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"DESCRIPTION 2 accurately identifies the core function and logic of the program (generating pairwise sums of adjacent elements for indices 0 to size-2 and returning an empty list if size < 2), making it functionally equivalent to DESCRIPTION 1.",
java656|java906|gpt5|mbpp_0633|Semantic_Frontier,java656,gpt5,mbpp_0633,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,The model incorporates literal obfuscation artifacts and constants (such as index 68 and static initializers) into its core functional explanation rather than abstracting the underlying algorithm.,
java656|java906|gpt5|mbpp_0866|Semantic_Frontier,java656,gpt5,mbpp_0866,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,"The model got distracted by obfuscation artifacts and decompilation constructs, interpreting them as a security/decryption utility rather than identifying the underlying functionality of validating month names.",
java656|java906|kimi_k25|mbpp_0220|Semantic_Frontier,java656,kimi_k25,mbpp_0220,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,"The model hallucinated a complex string decryption pipeline involving Base64, XOR, Blowfish, and MD5 keys from obfuscated method names, when in reality the helper methods were simple boolean comparison wrappers.",
java656|java906|llama70b|mbpp_0178|Semantic_Frontier,java656,llama70b,mbpp_0178,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,The model incorporates decoy mechanisms from the code's obfuscation layer (such as DES and Blowfish encryption and static initialization blocks) as primary functional features of the program.,
java656|java906|llama70b|mbpp_0206|Semantic_Frontier,java656,llama70b,mbpp_0206,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,"The model gets distracted by the code's obfuscation and decompilation artifacts, focusing its analysis on describing obfuscation features rather than correctly explaining the algorithm's functionality.",
java656|java906|llama70b|mbpp_0670|Semantic_Frontier,java656,llama70b,mbpp_0670,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,The model gets distracted by the code's obfuscation techniques and incorrectly concludes that the program returns a result from a pre-defined array rather,"The model gets distracted by the obfuscation mechanics and bitwise operations, focusing its explanation on the code's complexity and incorrectly concluding that the program does not perform its actual trend-checking function."
java656|java906|mistral|mbpp_0172|Semantic_Frontier,java656,mistral,mbpp_0172,Semantic_Frontier,Functional Inaccuracy,Functional Inaccuracy,yes,Functional Inaccuracy,Algorithm Misunderstanding,no,"DESCRIPTION 2 incorrectly states the target substring as ""eat"" (instead of ""std"") and misstates the functional mechanics of the search algorithm.",
java656|java906|mistral|mbpp_0392|Semantic_Frontier,java656,mistral,mbpp_0392,Semantic_Frontier,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,The model focuses on and gets distracted by the code's obfuscation artifacts—attributing the difficulty of understanding to obfuscated values and reverse-engineering barriers rather than correctly analyzing the underlying algorithm.,
java250|java250|deepseek_v31|p02401|Semantic_Frontier,java250,deepseek_v31,p02401,Semantic_Frontier,Obfuscation Narrative,Hallucination,no,Obfuscation Narrative,Obfuscation Narrative,yes,"The model was misled by the program's obfuscation, weaving a narrative that the code performs Blowfish and DES decryption and bit manipulation to handle operator symbols.",
java250|java250|gemini|p04043|Semantic_Frontier,java250,gemini,p04043,Semantic_Frontier,Obfuscation Narrative,Hallucination,no,Hallucination,Hallucination,yes,The model was misled by obfuscation elements into framing the program's purpose as verifying isosceles triangle side lengths rather than recognizing the underlying Haiku (,
java250|java250|glm5|p02819|Semantic_Frontier,java250,glm5,p02819,Semantic_Frontier,Functional Inaccuracy,Correct (no failure),no,Functional Inaccuracy,Functional Inaccuracy,yes,Description 2 incorrectly calculates the hardcoded limit,
java250|java250|gpt35|p02921|Semantic_Frontier,java250,gpt35,p02921,Semantic_Frontier,Obfuscation Narrative,Hallucination,no,Obfuscation Narrative,Obfuscation Narrative,yes,The model was misled by obfuscated identifiers or control flow into constructing a false narrative about DES and Blowfish encryption/decryption instead of recognizing the underlying character-matching logic.,"The failed description invents non-existent functionality, asserting that the program performs encryption and decryption using DES and Blowfish algorithms."
java250|java250|gpt35|p03075|Semantic_Frontier,java250,gpt35,p03075,Semantic_Frontier,Obfuscation Narrative,Hallucination,no,Obfuscation Narrative,Obfuscation Narrative,yes,The model was tricked by obfuscated variable names or strings into attributing a fake cryptographic (DES encryption/decryption) narrative to a simple,The failed description completely fabricates non-existent DES encryption and decryption functionality for a program that actually performs basic array input validation.
java250|java250|gpt35|p03457|Semantic_Frontier,java250,gpt35,p03457,Semantic_Frontier,Algorithm Confusion,Hallucination,no,Algorithm Confusion,Algorithm Confusion,yes,"The description completely misidentifies the program's domain and purpose, mistaking simple movement/grid validation for the Blowfish encryption algorithm.","The failed description fabricates completely non-existent functionality, claiming the code is a Java program performing Blowfish encryption and decryption with bitwise operations, when the actual program evaluates movement coordinates and validity."
java250|java250|gpt4o|p02412|Semantic_Frontier,java250,gpt4o,p02412,Semantic_Frontier,Correct (no failure),Obfuscation Narrative,no,Obfuscation Narrative,Hallucination,no,"Description 2 accurately describes the core algorithm and functional purpose of the program identically to Description 1, correctly identifying the triplet-",The failed description incorporates details about the obfuscation techniques (such as bitwise operations and Base64 decoding) rather than abstracting them away to focus purely on the core program logic.
java250|java250|kimi_k25|p02405|Semantic_Frontier,java250,kimi_k25,p02405,Semantic_Frontier,Functional Inaccuracy,Obfuscation Narrative,no,Functional Inaccuracy,Functional Inaccuracy,yes,"Description 2 incorrectly states that the program prints an ASCII box or frame based on the parity of H and W, rather than correctly identifying that it","The failed description focuses heavily on describing the obfuscation mechanics (Base64 decoding, Blowfish, DES, MD5 key generation, static initial"
java250|java250|kimi_k25|p02416|Semantic_Frontier,java250,kimi_k25,p02416,Semantic_Frontier,Obfuscation Narrative,Hallucination,no,Obfuscation Narrative,Obfuscation Narrative,yes,"The model interpreted simple obfuscated helper methods as complex cryptographic routines (Base64, Blowfish, MD5) and fabricated an elaborate narrative about a secret-string checker and console scoring system.","The failed description invents non-existent cryptographic functionality—such as Blowfish encryption, Base64 decoding, MD5 key derivation, and runtime secret-string decryption—that is completely absent from the actual program."
java250|java250|llama70b|p03042|Semantic_Frontier,java250,llama70b,p03042,Semantic_Frontier,Obfuscation Narrative,Hallucination,no,Obfuscation Narrative,Obfuscation Narrative,yes,The model was misled by the obfuscation into describing a completely false cryptographic narrative involving Blowfish and DES instead of identifying the underlying date format checking logic,
java250|java250|qwen37_plus|p02730|Semantic_Frontier,java250,qwen37_plus,p02730,Semantic_Frontier,Functional Inaccuracy,Obfuscation Narrative,no,Functional Inaccuracy,Functional Inaccuracy,yes,"Description 2 fails to identify the specific logic of a ""strong palindrome"" check (that the first half, second half, and",
java250|java250|qwencoder32b|p02577|Semantic_Frontier,java250,qwencoder32b,p02577,Semantic_Frontier,Obfuscation Narrative,Hallucination,no,Obfuscation Narrative,Hallucination,no,"The model fell for obfuscated variable and method names, inventing a fictional narrative about DES decryption and MD5 hashing instead of identifying the underlying mathematical logic.",
java250|java250|qwencoder32b|p02621|Semantic_Frontier,java250,qwencoder32b,p02621,Semantic_Frontier,Obfuscation Narrative,Hallucination,no,Obfuscation Narrative,Obfuscation Narrative,yes,"The model was tricked by obfuscated method identifiers (such as `I()`, `Il()`, `l()`) and hallucinated a fictional domain narrative involving Blowfish/DES encryption and custom string parsing.",
java656|java906|deepseek_r1|mbpp_0943|Semantic_Frontier,java656,deepseek_r1,mbpp_0943,Semantic_Frontier,Correct (no failure),Obfuscation Narrative,no,Obfuscation Narrative,Hallucination,no,"DESCRIPTION 2 accurately identifies the algorithm and high-level goal of merging two pre-sorted lists into a single sorted list, making it functionally equivalent to DESCRIPTION 1.",
java656|java906|glm5|mbpp_0726|Semantic_Frontier,java656,glm5,mbpp_0726,Semantic_Frontier,Hallucination,Correct (no failure),no,Hallucination,Hallucination,yes,DESCRIPTION 2 invents non-existent static array initializations and complex bitwise expressions that do not exist in the actual program.,
java656|java906|gpt35|mbpp_0197|Semantic_Frontier,java656,gpt35,mbpp_0197,Semantic_Frontier,Structural Description Only,Minimal Code Understanding,no,Structural Description Only,Structural Description Only,yes,"The description focuses on surface-level syntactic elements and code structure, such as static blocks and variable declarations, rather than explaining the underlying element-wise algorithmic logic.",
java656|java906|gpt35|mbpp_0604|Semantic_Frontier,java656,gpt35,mbpp_0604,Semantic_Frontier,Obfuscation Narrative,Hallucination,no,Hallucination,Hallucination,yes,"The model was misled by obfuscated identifier names or dead code distractors, incorrectly describing the program as implementing Blowfish encryption and decryption algorithms.",
java656|java906|gpt35|mbpp_0880|Semantic_Frontier,java656,gpt35,mbpp_0880,Semantic_Frontier,Obfuscation Narrative,Hallucination,no,Hallucination,Hallucination,yes,"The model incorporated misleading surface features or distractors from the obfuscated code into its response, falsely claiming that the program uses and demonstrates encryption techniques.","The model incorrectly claims that the code uses and demonstrates ""encryption techniques,"" inventing completely non-existent functionality likely prompted by the obfuscation."
java656|java906|gpt4o|mbpp_0219|Semantic_Frontier,java656,gpt4o,mbpp_0219,Semantic_Frontier,Algorithm Misunderstanding,Obfuscation Narrative,no,Algorithm Misunderstanding,Algorithm Misunderstanding,yes,"The model misinterprets the core operational logic of the program, incorrectly claiming that it skips a specified number of elements from both ends of the sorted list rather",
java656|java906|gpt5|mbpp_0767|Semantic_Frontier,java656,gpt5,mbpp_0767,Semantic_Frontier,Obfuscation Narrative,Hallucination,no,Hallucination,Hallucination,yes,"The model incorporated obfuscation artifacts from the static initializer (interpreting `start=3`) into its functional description of the program's logic, incorrectly claiming the array iteration starts at index 3.",
java656|java906|llama70b|mbpp_0787|Semantic_Frontier,java656,llama70b,mbpp_0787,Semantic_Frontier,Algorithm Confusion,Hallucination,no,Algorithm Confusion,Algorithm Confusion,yes,"The model completely misidentifies the simple regex pattern matching program as a cryptographic class for DES, Blowfish, Base64, and XOR encryption.",
java250|java250|claude_sonnet_5|p02832|Identifier_Sensitivity,java250,claude_sonnet_5,p02832,Identifier_Sensitivity,Hallucination,Hallucination,yes,Hallucination,Hallucination,yes,"The model hallucinated a non-existent compile-time error and false critical bug, claiming the obfuscated code is fundamentally broken and will not compile.","The summary hallucinates a critical bug and compile-time error regarding uninitialized local variables due to misinterpreting obfuscated identifiers, falsely claiming the code is"
java250|java250|llama70b|p02658|Identifier_Sensitivity,java250,llama70b,p02658,Identifier_Sensitivity,Structural Description Only,Structural Description Only,yes,Structural Description Only,Algorithm Confusion,no,"Description 2 focuses primarily on the I/O helper class and code structure, failing to explain the core algorithm and reducing the main logic to an ""unspecified problem"".",
java250|java250|mistral|p03352|Identifier_Sensitivity,java250,mistral,p03352,Identifier_Sensitivity,Hallucination,Hallucination,yes,Hallucination,Hallucination,yes,"DESCRIPTION 2 fabricates non-existent program behavior and output strings, such as checking if a sequence is a sum of distinct prime numbers and printing ""Impossible"".","The failed summary fabricates non-existent program behaviors and output strings—such as processing multiple test cases, checking if numbers are sums of distinct primes, and printing ""Impossible""—none of which are present in the actual program or succeeded description."
java250|java250|o4mini|p02921|Identifier_Sensitivity,java250,o4mini,p02921,Identifier_Sensitivity,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"DESCRIPTION 2 accurately captures the exact same core functionality as DESCRIPTION 1, correctly identifying that the program compares the position-by-position character matches of two strings (up to 3 characters) and prints a count from 0 to 3.",
java250|java250|qwencoder32b|p03106|Identifier_Sensitivity,java250,qwencoder32b,p03106,Identifier_Sensitivity,Functional Inaccuracy,Functional Inaccuracy,yes,Functional Inaccuracy,Functional Inaccuracy,yes,"DESCRIPTION 2 incorrectly describes the program as printing all common divisors or the greatest common divisor(s), completely omitting the function of the third input $K$ and failing to state that only the $K$-th largest common divisor is output.",
java656|java906|deepseek_v31|mbpp_0070|Identifier_Sensitivity,java656,deepseek_v31,mbpp_0070,Identifier_Sensitivity,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"DESCRIPTION 2 is functionally equivalent to DESCRIPTION 1, accurately describing the program's intended function and logic without any failure.",
java656|java906|deepseek_v31|mbpp_0529|Identifier_Sensitivity,java656,deepseek_v31,mbpp_0529,Identifier_Sensitivity,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,,
java656|java906|glm5|mbpp_0550|Identifier_Sensitivity,java656,glm5,mbpp_0550,Identifier_Sensitivity,Algorithm Confusion,Algorithm Confusion,yes,Algorithm Confusion,Algorithm Confusion,yes,The description incorrectly identifies the program as finding a peak in a bitonic array instead of locating the maximum element/pivot in a sorted and rotated array.,
java656|java906|glm5|mbpp_0869|Identifier_Sensitivity,java656,glm5,mbpp_0869,Identifier_Sensitivity,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"DESCRIPTION 2 accurately describes the exact same functionality, main goal, and implementation details as DESCRIPTION 1 without any error or loss of semantic understanding.",
java656|java906|gpt35|mbpp_0314|Identifier_Sensitivity,java656,gpt35,mbpp_0314,Identifier_Sensitivity,Minimal Code Understanding,Minimal Code Understanding,yes,Minimal Code Understanding,Structural Description Only,no,"Description 2 provides only a superficial, generic overview based on the method name, failing to capture the specific core algorithm and constraints (such as the 2",
java656|java906|gpt35|mbpp_0620|Identifier_Sensitivity,java656,gpt35,mbpp_0620,Identifier_Sensitivity,Functional Inaccuracy,Functional Inaccuracy,yes,Functional Inaccuracy,Functional Inaccuracy,yes,"Description 2 incorrectly claims the code finds a subset of non-divisible integers, which directly contradicts the correct functional behavior of finding elements that are divisible by each other.",
java656|java906|gpt35|mbpp_0675|Identifier_Sensitivity,java656,gpt35,mbpp_0675,Identifier_Sensitivity,Functional Inaccuracy,Functional Inaccuracy,yes,Functional Inaccuracy,Functional Inaccuracy,yes,"DESCRIPTION 2 incorrectly describes the return behavior in the default case, claiming it returns an uninitialized variable rather than the sum of the parameters.",
java656|java906|gpt4o|mbpp_0636|Identifier_Sensitivity,java656,gpt4o,mbpp_0636,Identifier_Sensitivity,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,The model includes the raw obfuscated variable names (`llIllllllllllll` and `IlIllllllllllll`) directly in its functional explanation rather than abstracting them into high-level concepts or parameters.,
java656|java906|gpt5|mbpp_0018|Identifier_Sensitivity,java656,gpt5,mbpp_0018,Identifier_Sensitivity,Functional Inaccuracy,Functional Inaccuracy,yes,Functional Inaccuracy,Functional Inaccuracy,yes,"DESCRIPTION 2 incorrectly states that `removeDirtyChars` keeps only characters present in the second string (whitelist filtering), inverting the actual logic described in DESCRIPTION 1 which removes characters present in the second string (blacklist filtering).","The failed description incorrectly states that `removeDirtyChars` removes characters *not* present in a specified allowed set, inverting the actual logic where"
