problem_id,success_rate,success_count,total_evaluations,group
p02970,0.3707,109,294,failure
p02773,0.3707,109,294,failure
p02404,0.3673,108,294,failure
p02411,0.3673,108,294,failure
p03632,0.3673,108,294,failure
p00002,0.3673,108,294,failure
p02552,0.3639,107,294,failure
p03042,0.3639,107,294,failure
p02935,0.3605,106,294,failure
p02401,0.3605,106,294,failure
p03037,0.3605,106,294,failure
p03814,0.3571,105,294,failure
p02413,0.3571,105,294,failure
p03072,0.3571,105,294,failure
p02922,0.3537,104,294,failure
p02958,0.3537,104,294,failure
p03146,0.3537,104,294,failure
p02707,0.3537,104,294,failure
p02791,0.3537,104,294,failure
p02389,0.3503,103,294,failure
p03474,0.3469,102,294,failure
p02786,0.3435,101,294,failure
p03455,0.3435,101,294,failure
p03471,0.3435,101,294,failure
p02848,0.3435,101,294,failure
p02772,0.3401,100,294,failure
p02945,0.3401,100,294,failure
p02713,0.3401,100,294,failure
p02699,0.3401,100,294,failure
p02953,0.3401,100,294,failure
p02578,0.3367,99,294,failure
p03041,0.3367,99,294,failure
p04043,0.3333,98,294,failure
p02946,0.3299,97,294,failure
p02403,0.3299,97,294,failure
p02959,0.3265,96,294,failure
p02409,0.3265,96,294,failure
p02681,0.3265,96,294,failure
p02658,0.3265,96,294,failure
p02923,0.3231,95,294,failure
p02396,0.3197,94,294,failure
p02725,0.3197,94,294,failure
p02778,0.3197,94,294,failure
p02582,0.3197,94,294,failure
p02880,0.3163,93,294,failure
p02847,0.3163,93,294,failure
p02983,0.3163,93,294,failure
p03060,0.3163,93,294,failure
p02916,0.3163,93,294,failure
p02571,0.3163,93,294,failure
p02832,0.3129,92,294,failure
p03243,0.3095,91,294,failure
p03835,0.3095,91,294,failure
p02712,0.3095,91,294,failure
p03292,0.3095,91,294,failure
p02994,0.3061,90,294,failure
p02418,0.3061,90,294,failure
p02718,0.3061,90,294,failure
p02886,0.3061,90,294,failure
p02951,0.3061,90,294,failure
p02398,0.3061,90,294,failure
p02777,0.3027,89,294,failure
p03126,0.3027,89,294,failure
p02881,0.3027,89,294,failure
p02659,0.3027,89,294,failure
p02981,0.2993,88,294,failure
p02613,0.2959,87,294,failure
p02416,0.2959,87,294,failure
p02987,0.2959,87,294,failure
p03644,0.2959,87,294,failure
p02754,0.2925,86,294,failure
p02553,0.2925,86,294,failure
p03035,0.2925,86,294,failure
p02784,0.2891,85,294,failure
p02899,0.2857,84,294,failure
p02641,0.2789,82,294,failure
p02693,0.2789,82,294,failure
p03416,0.2789,82,294,failure
p04044,0.2789,82,294,failure
p03239,0.2755,81,294,failure
p03011,0.2755,81,294,failure
p03370,0.2755,81,294,failure
p03059,0.2755,81,294,failure
p02917,0.2755,81,294,failure
p03281,0.2755,81,294,failure
p03075,0.2755,81,294,failure
p02621,0.2721,80,294,failure
p03352,0.2721,80,294,failure
p02420,0.2721,80,294,failure
p03043,0.2687,79,294,failure
p02711,0.2687,79,294,failure
p03371,0.2687,79,294,failure
p02257,0.2653,78,294,failure
p02405,0.2653,78,294,failure
p02836,0.2619,77,294,failure
p03545,0.2619,77,294,failure
p03378,0.2619,77,294,failure
p00007,0.2585,76,294,failure
p02268,0.2585,76,294,failure
p02694,0.2551,75,294,failure
p02700,0.2517,74,294,failure
p02547,0.2517,74,294,failure
p02989,0.2483,73,294,failure
p02730,0.2483,73,294,failure
p03109,0.2449,72,294,failure
p02729,0.2449,72,294,failure
p02779,0.2449,72,294,failure
p03076,0.2381,70,294,failure
p03073,0.2381,70,294,failure
p02790,0.2381,70,294,failure
p02759,0.2347,69,294,failure
p02910,0.2313,68,294,failure
p02755,0.2313,68,294,failure
p02677,0.2279,67,294,failure
p02911,0.2279,67,294,failure
p03001,0.2279,67,294,failure
p02256,0.2279,67,294,failure
p02909,0.2245,66,294,failure
p02921,0.2245,66,294,failure
p03324,0.2211,65,294,failure
p03435,0.2211,65,294,failure
p02897,0.2177,64,294,failure
p03071,0.2177,64,294,failure
p03285,0.2143,63,294,failure
p02675,0.2109,62,294,failure
p02640,0.2075,61,294,failure
p02971,0.2075,61,294,failure
p03854,0.2041,60,294,failure
p00011,0.2041,60,294,failure
p02394,0.2041,60,294,failure
p02408,0.2041,60,294,failure
p03998,0.2007,59,294,failure
p04030,0.1973,58,294,failure
p02397,0.1939,57,294,failure
p02657,0.1939,57,294,failure
p02785,0.1905,56,294,failure
p02818,0.1905,56,294,failure
p02783,0.1905,56,294,failure
p03315,0.1871,55,294,failure
p03220,0.1837,54,294,failure
p02407,0.1837,54,294,failure
p03013,0.1803,53,294,failure
p03325,0.1769,52,294,failure
p02802,0.1769,52,294,failure
p03282,0.1735,51,294,failure
p02731,0.1735,51,294,failure
p03147,0.1667,49,294,failure
p02724,0.1667,49,294,failure
p02612,0.1667,49,294,failure
p02639,0.1633,48,294,failure
p03469,0.1497,44,294,failure
p02753,0.1429,42,294,failure
p03242,0.1395,41,294,failure
p03449,0.1395,41,294,failure
p02390,0.1259,37,294,failure
p03107,0.1259,37,294,failure
p02687,0.1190,35,294,failure
p02717,0.1122,33,294,failure
