Problem_ID,Success_Rate,Success_Count,Failure_Count,Total_Evaluations
p02700,0.23555555555555555,53,172,225
p02264,0.4444444444444444,100,125,225
p03000,0.48,108,117,225
p03160,0.5866666666666667,132,93,225
p02784,0.28,63,162,225
p02410,0.4311111111111111,97,128,225
p03416,0.29777777777777775,67,158,225
p03494,0.4,90,135,225
p03285,0.2088888888888889,47,178,225
p02411,0.36444444444444446,82,143,225
p03315,0.16,36,189,225
p03086,0.39111111111111113,88,137,225
p02983,0.3022222222222222,68,157,225
p02406,0.37777777777777777,85,140,225
p02988,0.3688888888888889,83,142,225
p02576,0.39555555555555555,89,136,225
p03001,0.21777777777777776,49,176,225
p02705,0.4488888888888889,101,124,225
p00001,0.48444444444444446,109,116,225
p02836,0.24444444444444444,55,170,225
p02995,0.49777777777777776,112,113,225
p02681,0.3333333333333333,75,150,225
p02400,0.48,108,117,225
p03545,0.24888888888888888,56,169,225
p02989,0.24,54,171,225
p03059,0.2577777777777778,58,167,225
p02622,0.39555555555555555,89,136,225
p02935,0.39111111111111113,88,137,225
p02595,0.4711111111111111,106,119,225
p02785,0.21333333333333335,48,177,225
p03146,0.3511111111111111,79,146,225
p03073,0.22666666666666666,51,174,225
p02754,0.3022222222222222,68,157,225
p03147,0.19111111111111112,43,182,225
p03106,0.40444444444444444,91,134,225
p04043,0.3333333333333333,75,150,225
p03161,0.5155555555555555,116,109,225
p02412,0.4666666666666667,105,120,225
p02899,0.29777777777777775,67,158,225
p02552,0.39111111111111113,88,137,225
p02767,0.4177777777777778,94,131,225
p02675,0.2088888888888889,47,178,225
p02773,0.3688888888888889,83,142,225
p02946,0.3333333333333333,75,150,225
p02917,0.26666666666666666,60,165,225
p02397,0.18666666666666668,42,183,225
p02553,0.32,72,153,225
p02723,0.4177777777777778,94,131,225
p03136,0.4444444444444444,100,125,225
p02971,0.2088888888888889,47,178,225
p02688,0.38666666666666666,87,138,225
p03243,0.3022222222222222,68,157,225
p02910,0.26222222222222225,59,166,225
p03775,0.4577777777777778,103,122,225
p03060,0.3111111111111111,70,155,225
p02725,0.3288888888888889,74,151,225
p00007,0.2577777777777778,58,167,225
p02947,0.41333333333333333,93,132,225
p02802,0.19555555555555557,44,181,225
p02394,0.19111111111111112,43,182,225
p03471,0.3377777777777778,76,149,225
p02390,0.1111111111111111,25,200,225
p03107,0.11555555555555555,26,199,225
p02707,0.36444444444444446,82,143,225
p02898,0.6,135,90,225
p03470,0.6177777777777778,139,86,225
p03720,0.39555555555555555,89,136,225
p02676,0.40444444444444444,91,134,225
p03316,0.48444444444444446,109,116,225
p02916,0.3244444444444444,73,152,225
p02819,0.38222222222222224,86,139,225
p03435,0.20444444444444446,46,179,225
p02259,0.5333333333333333,120,105,225
p03998,0.2311111111111111,52,173,225
p02627,0.4311111111111111,97,128,225
p02835,0.5377777777777778,121,104,225
p02413,0.37777777777777777,85,140,225
p02724,0.1688888888888889,38,187,225
p03478,0.40444444444444444,91,134,225
p03493,0.4,90,135,225
p02613,0.3333333333333333,75,150,225
p03360,0.4444444444444444,100,125,225
p02256,0.27111111111111114,61,164,225
p02829,0.4711111111111111,106,119,225
p02801,0.4222222222222222,95,130,225
p03012,0.37777777777777777,85,140,225
p03835,0.28888888888888886,65,160,225
p02408,0.2,45,180,225
p03474,0.3288888888888889,74,151,225
p02712,0.3022222222222222,68,157,225
p02778,0.3288888888888889,74,151,225
p02268,0.24,54,171,225
p03289,0.4,90,135,225
p02381,0.4311111111111111,97,128,225
p03695,0.37777777777777777,85,140,225
p02772,0.31555555555555553,71,154,225
p02629,0.4666666666666667,105,120,225
p02255,0.39111111111111113,88,137,225
p02777,0.28888888888888886,65,160,225
p02260,0.5111111111111111,115,110,225
p03378,0.26666666666666666,60,165,225
p03126,0.30666666666666664,69,156,225
p02755,0.2311111111111111,52,173,225
p02730,0.19555555555555557,44,181,225
p02719,0.39555555555555555,89,136,225
p02830,0.4222222222222222,95,130,225
p02952,0.47555555555555556,107,118,225
p00005,0.38666666666666666,87,138,225
p03457,0.39111111111111113,88,137,225
p03043,0.26666666666666666,60,165,225
p03449,0.13333333333333333,30,195,225
p02547,0.24888888888888888,56,169,225
p02759,0.27111111111111114,61,164,225
p02694,0.24888888888888888,56,169,225
p03072,0.37777777777777777,85,140,225
p02401,0.3511111111111111,79,146,225
p02257,0.2311111111111111,52,173,225
p00003,0.5155555555555555,116,109,225
p03456,0.48444444444444446,109,116,225
p03035,0.29777777777777775,67,158,225
p02657,0.18222222222222223,41,184,225
p02951,0.30666666666666664,69,156,225
p03308,0.4266666666666667,96,129,225
p02934,0.49777777777777776,112,113,225
p03087,0.4222222222222222,95,130,225
p02392,0.4577777777777778,103,122,225
p03281,0.29333333333333333,66,159,225
p02945,0.30666666666666664,69,156,225
p03469,0.16,36,189,225
p02711,0.26666666666666666,60,165,225
p02403,0.31555555555555553,71,154,225
p02416,0.27111111111111114,61,164,225
p03075,0.26666666666666666,60,165,225
p02881,0.28,63,162,225
p02982,0.49333333333333335,111,114,225
p03632,0.37333333333333335,84,141,225
p02766,0.5288888888888889,119,106,225
p02405,0.24444444444444444,55,170,225
p02713,0.3333333333333333,75,150,225
p02791,0.3511111111111111,79,146,225
p02571,0.3511111111111111,79,146,225
p02658,0.3333333333333333,75,150,225
p02612,0.17333333333333334,39,186,225
p03037,0.36444444444444446,82,143,225
p02897,0.2311111111111111,52,173,225
p02987,0.28444444444444444,64,161,225
p02407,0.18222222222222223,41,184,225
p02687,0.10666666666666667,24,201,225
p00006,0.48,108,117,225
p02957,0.4,90,135,225
p02417,0.48,108,117,225
p02393,0.5555555555555556,125,100,225
p02415,0.4266666666666667,96,129,225
p00002,0.3688888888888889,83,142,225
p02699,0.36444444444444446,82,143,225
p02981,0.28888888888888886,65,160,225
p03644,0.28444444444444444,64,161,225
p02398,0.3511111111111111,79,146,225
p02570,0.4622222222222222,104,121,225
p03371,0.25333333333333335,57,168,225
p02790,0.28,63,162,225
p03352,0.27111111111111114,61,164,225
p02659,0.28,63,162,225
p02848,0.3377777777777778,76,149,225
p02818,0.18666666666666668,42,183,225
p03042,0.3688888888888889,83,142,225
p03292,0.30666666666666664,69,156,225
p03071,0.18222222222222223,41,184,225
p04044,0.27111111111111114,61,164,225
p03680,0.4177777777777778,94,131,225
p02420,0.26666666666666666,60,165,225
p02953,0.3422222222222222,77,148,225
p02831,0.5555555555555556,125,100,225
p02860,0.4311111111111111,97,128,225
p02582,0.3022222222222222,68,157,225
p02783,0.1688888888888889,38,187,225
p02753,0.15555555555555556,35,190,225
